Order	Family	Sp1	Sp2	Condition	Reference
Diptera	Agromyzidae	Liriomyza sativae	Liriomyza trifolii	Laboratory	Tokumaru, S; Abe, Y, 2005
Diptera	Calliphoridae	Chrysomya megacephala	Chrysomya saffranea	Field	Nelson, LA; Wallman, JF; Dowton, M, 2007
Diptera	Calliphoridae	Lucilia sericata	Lucilia cuprina	Field	Williams, K; Villet, MH, 2013
Diptera	Chironomidae	Chironomus plumosus	Chironomus balatonicus	Laboratory	MICHAILOVA, P, 1987
Diptera	Chironomidae	Chironomus plumosus	Chironomus behningi	Field	Polukonova, NV; Beljanina, SI, 2002
Diptera	Chironomidae	Chironomus plumosus	Chironomus muratensis	Field	Markiyanova, MF, 2016
Diptera	Chironomidae	Chironomus plumosus	Chironomus vancouveri	Laboratory	MICHAILOVA, P, 1987
Diptera	Chironomidae	Chironomus riparius	Chironomus piger	Field	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M, 2019
Diptera	Chironomidae	Chironomus tentans	Chironomus pallidivittatus	Field	Martin, J; Guryev, V; Blinov, A, 2002
Diptera	Chironomidae	Glyptotendipes glaucus	Glyptotendipes pallens	Field	Michailova, PV, 1996
Diptera	Chironomidae	Glyptotendipes pallens	Glyptotendipes glaucus	Field	Michailova, P; Warchalowska-Sliwa, E; Kownacki, A, 2001
Diptera	Chironomidae	Glyptotendipes salinus	Glyptotendipes barbipes	Laboratory	MICHAILOVA, P; BELCHEVA, R, 1989
Diptera	Culicidae	Aedes ashworthi	Aedes australis	Laboratory	Brust, RA; Mahon, RJ, 1997
Diptera	Culicidae	Aedes brelandi	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Aedes hendersoni	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Aedes triseriatus	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Anopheles albitarsis	Anopheles deaneorum	Laboratory	Lima, JBP; Valle, D; Peixoto, AA, 2004
Diptera	Culicidae	Anopheles beklemishevi	Anopheles atroparvus	Laboratory	Novikov, YM, 2016
Diptera	Culicidae	Anopheles coluzzii	Anopheles arabiensis	Field	Zoure, AA; Noel, G; Sombie, A; Somda, Z; Badolo, A; Francis, F, 2020
Diptera	Culicidae	Anopheles coluzzii	Anopheles quadriannulatus	Laboratory	Deitz, KC; Takken, W; Slotman, MA, 2018
Diptera	Culicidae	Anopheles gambiae	Anopheles arabiensis	Field	Mawejje, HD; Wilding, CS; Rippon, EJ; Hughes, A; Weetman, D; Donnelly, MJ
Diptera	Culicidae	Anopheles gambiae	Anopheles coluzzii	Field	Oduwole, OA; Oringanje, CM; Oduola, AO; Nwachuku, NS; Meremikwu, MM; Alaribe, AAA, 2020
Diptera	Culicidae	Anopheles gambiae	Anopheles quadriannulatus	Laboratory	Pates, HV; Curtis, CF; Takken, W, 2014
Diptera	Culicidae	Anopheles maculatus	Anopheles willmori	Laboratory	Somboon, P; Thongwat, D; Morgan, K; Walton, C, 2008
Diptera	Culicidae	Anopheles melas	Anopheles arabiensis	Laboratory	OKEREKE, TA, 1980
Diptera	Culicidae	Anopheles melas	Anopheles gambiae	Laboratory	OKEREKE, TA, 1980
Diptera	Culicidae	Anopheles minimus	Anopheles aconitus	Laboratory	SUCHARIT, S; CHOOCHOTE, W, 1982
Diptera	Culicidae	Anopheles sinensis	Anopheles kleini	Field	Choochote, W; Min, GS; Intapan, PM; Tantrawatpan, C; Saeung, A; Lulitanond, V, 2014
Diptera	Culicidae	Culex pipiens	Culex quinquefasciatus	Field	ALMIRON, WR; HUMERES, SG; GARDENAL, CN, 1995
Diptera	Culicidae	Ochlerotatus triseriatus	Ochlerotatus hendersoni	Laboratory	Anderson, JR; Schneider, JR; Grimstad, PR; Severson, DW, 2006
Diptera	Culicidae	Psorophora columbiae	Psorophora toltecum	Field	Lanzaro, GC; Collier, TC; Lee, Y, 2015
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila malerkotliana	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila parabipectinata	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila buzzatii	Drosophila koepferae	Laboratory	Soto, EM; Soto, IM; Carreira, VP; Fanara, JJ; Hasson, E, 2008
Diptera	Drosophilidae	Drosophila ezoana	Drosophila montana	Field	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV, 2019
Diptera	Drosophilidae	Drosophila gouveai	Drosophila antonietae	Laboratory	Soto, IM; Carreira, VP; Corio, C; Soto, EM; Hasson, E, 2010
Diptera	Drosophilidae	Drosophila koepferae	Drosophila antonietae	Laboratory	Colines, B; Soto, IM; de Panis, DN; Padro, J, 2018
Diptera	Drosophilidae	Drosophila lutescens	Drosophila takahashii	Laboratory	Hori, Y; Kimura, MT, 1998
Diptera	Drosophilidae	Drosophila malerkotliana	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila melanogaster	Drosophila simulans	Laboratory	MORETEAU, B; PETAVY, G; GIBERT, P; MORIN, JP; MUNOZ, A; DAVID, JR, 1995
Diptera	Drosophilidae	Drosophila montana	Drosophila lacicola	Field	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV, 2019
Diptera	Drosophilidae	Drosophila orientacea	Drosophila testacea	Laboratory	GRIMALDI, D; JAMES, AC; JAENIKE, J, 1992
Diptera	Drosophilidae	Drosophila parabipectinata	Drosophila malerkotliana	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila parabipectinata	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila parapallidosa	Drosophila ananassae	Field	Hama, Y; Lee, CY; Matsuda, M; Kamimura, Y; Sawamura, K, 2020
Diptera	Drosophilidae	Drosophila silvestris	Drosophila heteroneura	Laboratory	PRICE, DK; BOAKE, CRB, 1995
Diptera	Drosophilidae	Zaprionus burlai	Zaprionus tuberculatus	Laboratory	Yassin, A, 2008
Diptera	Glossinidae	Glossina swynnertoni	Glossina morsitans	Laboratory	Gooding, RH, 1997
Diptera	Psychodidae	Lutzomyia longipalpis	Lutzomyia cruzi	Field	Santos, MFC; Ribolla, PEM; Alonso, DP; Andrade, JD; Casaril, AE; Ferreira, AMT; Fernandes, CES; Brazil, RP; Oliveira, AG, 2013
Diptera	Psychodidae	Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	Laboratory	Arrivillaga, J; Salerno, P; Rangel, Y, 2009
Diptera	Psychodidae	Phlebotomus perniciosus	Phlebotomus longicuspis	Field	Pesson, B; Ready, JS; Benabdennbi, I; Martin-Sanchez, J; Esseghir, S; Cadi-Soussi, M; Morillas-Marquez, F; Ready, PD, 2004
Diptera	Sepsidae	Sepsis cynipsea	Sepsis neocynipsea	Laboratory	Giesen, A; Schafer, MA; Blanckenhorn, WU, 2019
Diptera	Simuliidae	Prosimulium multidentatum	Prosimulium magnum	Field	ROTHFELS, K; NAMBIAR, R, 1981
Diptera	Simuliidae	Simulium arcticum	Simulium saxosum	Field	Conflitti, IM; Shields, GF; Murphy, RW; Currie, DC
Diptera	Simuliidae	Simulium damnosum	Simulium sirbanum	Field	Boakye, DA; Back, C; Brakefield, PM, 2000
Diptera	Simuliidae	Simulium flexibranchium	Simulium petricolum	Field	Adler, PH; Seitz, G, 2020
Diptera	Simuliidae	Simulium sanctipauli	Simulium squamosum	Field	POST, RJ, 1984
Diptera	Simuliidae	Simulium sanctipauli	Simulium yahense	Field	POST, RJ, 1984
Diptera	Tephritidae	Anastrepha fraterculus	Anastrepha obliqua	Field	Rull, J; Tadeo, E; Lasa, R; Rodriguez, CL; Altuzar-Molina, A; Aluja, M, 2018
Diptera	Tephritidae	Anastrepha fraterculus	Anastrepha sororcula	Laboratory	dos Santos, P; Uramoto, K; Matioli, SR, 2001
Diptera	Tephritidae	Anastrepha obliqua	Anastrepha sororcula	Laboratory	dos Santos, P; Uramoto, K; Matioli, SR, 2001
Diptera	Tephritidae	Bactrocera dorsalis	Bactrocera carambolae	Laboratory	McInnis, DO; Rendon, P; Jang, E; Van Sauers-Muller, A; Sugayama, R; Malavasi, A, 1999
