Order	Sp1	Sp2	Distance
Diptera	Aedes brelandi	Aedes zoosophus	0.0197869101978691
Diptera	Aedes hendersoni	Aedes zoosophus	0.0106382978723404
Diptera	Aedes triseriatus	Aedes zoosophus	0.0076103500761035
Diptera	Anastrepha fraterculus	Anastrepha obliqua	0.0138522427440633
Diptera	Anastrepha fraterculus	Anastrepha sororcula	0.00848656294200849
Diptera	Anastrepha obliqua	Anastrepha sororcula	0.0189473684210526
Diptera	Anopheles albitarsis	Anopheles deaneorum	0.0300653594771242
Diptera	Anopheles beklemishevi	Anopheles atroparvus	0.0466257668711656
Diptera	Anopheles coluzzii	Anopheles arabiensis	0.0293925538863488
Diptera	Anopheles coluzzii	Anopheles quadriannulatus	0.0419651995905834
Diptera	Anopheles gambiae	Anopheles arabiensis	0.00459619172685489
Diptera	Anopheles gambiae	Anopheles coluzzii	0.0208197787898504
Diptera	Anopheles gambiae	Anopheles quadriannulatus	0.0163766632548618
Diptera	Anopheles melas	Anopheles arabiensis	0.0337662337662338
Diptera	Anopheles melas	Anopheles gambiae	0.0111038536903984
Diptera	Anopheles minimus	Anopheles aconitus	0.0725115359261701
Diptera	Anopheles sinensis	Anopheles kleini	0.0212164073550212
Diptera	Bactrocera dorsalis	Bactrocera carambolae	0.0290322580645161
Diptera	Bactrocera invadens	Bactrocera dorsalis	0.0274689339437541
Diptera	Bactrocera occipitalis	Bactrocera philippinensis	0.0215404699738903
Diptera	Bactrocera tryoni	Bactrocera jarvisi	0.104968509447166
Diptera	Bactrocera tryoni	Bactrocera neohumeralis	0.00736771600803751
Diptera	Ceratitis rosa	Ceratitis fasciventris	0.0124858115777526
Diptera	Chironomus plumosus	Chironomus balatonicus	0.0823529411764706
Diptera	Chironomus plumosus	Chironomus muratensis	0.0875420875420875
Diptera	Chironomus riparius	Chironomus piger	0.146017699115044
Diptera	Chironomus tentans	Chironomus pallidivittatus	0.0104633781763827
Diptera	Chrysomya megacephala	Chrysomya saffranea	0.00651890482398957
Diptera	Culex pipiens	Culex quinquefasciatus	0.00260416666666667
Diptera	Drosophila bipectinata	Drosophila malerkotliana	0
Diptera	Drosophila bipectinata	Drosophila parabipectinata	0.00702576112412178
Diptera	Drosophila bipectinata	Drosophila pseudoananassae	0.0257611241217799
Diptera	Drosophila buzzatii	Drosophila koepferae	0
Diptera	Drosophila ezoana	Drosophila montana	0.0944669365721997
Diptera	Drosophila gouveai	Drosophila antonietae	0.0222575516693164
Diptera	Drosophila koepferae	Drosophila antonietae	0.0688405797101449
Diptera	Drosophila lutescens	Drosophila takahashii	0.0234321157822192
Diptera	Drosophila malerkotliana	Drosophila pseudoananassae	0.0222965440356745
Diptera	Drosophila melanogaster	Drosophila simulans	0.0598958333333333
Diptera	Drosophila montana	Drosophila lacicola	0.00539083557951483
Diptera	Drosophila orientacea	Drosophila testacea	0.0428994082840237
Diptera	Drosophila parabipectinata	Drosophila malerkotliana	0.00668896321070234
Diptera	Drosophila parabipectinata	Drosophila pseudoananassae	0.0311804008908686
Diptera	Drosophila parapallidosa	Drosophila ananassae	0.181240063593005
Diptera	Drosophila silvestris	Drosophila heteroneura	0.00621546961325967
Diptera	Glossina swynnertoni	Glossina morsitans	0.0673886883273165
Diptera	Glyptotendipes glaucus	Glyptotendipes pallens	0.0299065420560748
Diptera	Glyptotendipes pallens	Glyptotendipes glaucus	0.0299065420560748
Diptera	Liriomyza sativae	Liriomyza trifolii	0.0772251308900524
Diptera	Lucilia sericata	Lucilia cuprina	0.0493273542600897
Diptera	Lutzomyia longipalpis	Lutzomyia cruzi	0.0349544072948328
Diptera	Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	0.0933786078098472
Diptera	Ochlerotatus triseriatus	Ochlerotatus hendersoni	0.0334855403348554
Diptera	Phlebotomus perniciosus	Phlebotomus longicuspis	0.054014598540146
Diptera	Rhagoletis cerasi	Rhagoletis cingulata	0.102040816326531
Diptera	Rhagoletis mendax	Rhagoletis zephyria	0.00439882697947214
Diptera	Rhagoletis pomonella	Rhagoletis zephyria	0.00293255131964809
Diptera	Rhagoletis zoqui	Rhagoletis ramosae	0
Diptera	Sepsis cynipsea	Sepsis neocynipsea	0.00574712643678161
Diptera	Simulium arcticum	Simulium saxosum	0.00610687022900763
Diptera	Zaprionus burlai	Zaprionus tuberculatus	0.00427350427350427
Hymenoptera	Aphidius ervi	Aphidius microlophii	0.00589101620029455
Hymenoptera	Apis cerana	Apis mellifera	0.10864040660737
Hymenoptera	Camponotus herculeanus	Camponotus ligniperda	0.0745614035087719
Hymenoptera	Cotesia chilonis	Cotesia sesamiae	0.0243589743589744
Hymenoptera	Cotesia flavipes	Cotesia chilonis	0.0358974358974359
Hymenoptera	Encarsia suzannae	Encarsia gennaroi	0.0369881109643329
Hymenoptera	Formica lugubris	Formica pratensis	0.0075187969924812
Hymenoptera	Formica lugubris	Formica rufa	0.03003003003003
Hymenoptera	Formica polyctena	Formica rufa	0.0303951367781155
Hymenoptera	Formica rufa	Formica polyctena	0.0303951367781155
Hymenoptera	Lasius claviger	Lasius latipes	0.062874251497006
Hymenoptera	Lasius emarginatus	Lasius platythorax	0.023696682464455
Hymenoptera	Lasius umbratus	Lasius jensi	0.0524691358024691
Hymenoptera	Lasius umbratus	Lasius meridionalis	0.0481203007518797
Hymenoptera	Nasonia longicornis	Nasonia giraulti	0.0714776632302405
Hymenoptera	Nasonia vitripennis	Nasonia giraulti	0.0978635423845624
Hymenoptera	Nasonia vitripennis	Nasonia longicornis	0.0957960027567195
Hymenoptera	Pogonomyrmex rugosus	Pogonomyrmex barbatus	0.0342205323193916
Hymenoptera	Solenopsis geminata	Solenopsis xyloni	0.122599704579025
Hymenoptera	Solenopsis invicta	Solenopsis richteri	0.0490837696335079
Hymenoptera	Temnothorax crassispinus	Temnothorax crasecundus	0.00920245398773006
Hymenoptera	Temnothorax nigriceps	Temnothorax unifasciatus	0.108064516129032
Hymenoptera	Temnothorax nylanderi	Temnothorax crassispinus	0.0276073619631902
Hymenoptera	Temnothorax tuberum	Temnothorax nigriceps	0.0816
Hymenoptera	Tetragonula carbonaria	Tetragonula hockingsi	0.196374622356495
Hymenoptera	Tetramorium immigrans	Tetramorium caespitum	0.0556318681318681
Hymenoptera	Torymus sinensis	Torymus beneficus	0.0443349753694581
Lepidoptera	Adscita alpina	Adscita italica	0.0060790273556231
Lepidoptera	Agrotis ipsilon	Agrotis segetum	0.0459016393442623
Lepidoptera	Ahlbergia frivaldszkyi	Callophrys rubi	0.00606980273141123
Lepidoptera	Anartia amathea	Anartia fatima	0.026602176541717
Lepidoptera	Antheraea pernyi	Antheraea roylei	0.0264797507788162
Lepidoptera	Antheraea pernyi	Antheraea yamamai	0.054354944335298
Lepidoptera	Anthocharis cardamines	Anthocharis euphenoides	0.0531914893617021
Lepidoptera	Anthocharis cardamines	Euchloe ausonia	0.0805471124620061
Lepidoptera	Anthocharis cardamines	Euchloe simplonia	0.0835866261398176
Lepidoptera	Aricia agestis	Aricia artaxerxes	0.0220162224797219
Lepidoptera	Callosamia angulifera	Callosamia promethea	0.0395136778115502
Lepidoptera	Callosamia angulifera	Callosamia securifera	0.0349544072948328
Lepidoptera	Callosamia angulifera	Hyalophora cecropia	0.0911854103343465
Lepidoptera	Callosamia promethea	Callosamia securifera	0.0486322188449848
Lepidoptera	Cerura erminea	Cerura vinula	0.074468085106383
Lepidoptera	Chloridea subflexa	Chloridea virescens	0.0537482319660538
Lepidoptera	Choristoneura biennis	Choristoneura fumiferana	0.0255235602094241
Lepidoptera	Choristoneura biennis	Choristoneura occidentalis	0.0150326797385621
Lepidoptera	Choristoneura fumiferana	Choristoneura occidentalis	0.0249343832020997
Lepidoptera	Choristoneura fumiferana	Choristoneura pinus	0.0262984878369494
Lepidoptera	Choristoneura fumiferana	Choristoneura retiniana	0.0184089414858646
Lepidoptera	Choristoneura occidentalis	Choristoneura pinus	0.00592495062541146
Lepidoptera	Choristoneura occidentalis	Choristoneura retiniana	0.0131319763624425
Lepidoptera	Choristoneura pinus	Choristoneura retiniana	0.0158311345646438
Lepidoptera	Citheronia regalis	Citheronia splendens	0.060790273556231
Lepidoptera	Clostera anachoreta	Clostera curtula	0.0683890577507599
Lepidoptera	Clostera anachoreta	Clostera pigra	0.0623100303951368
Lepidoptera	Clostera apicalis	Clostera pigra	0.074468085106383
Lepidoptera	Clostera curtula	Clostera pigra	0.0562310030395137
Lepidoptera	Coenonympha arcania	Coenonympha gardetta	0.00994318181818182
Lepidoptera	Colias alexandra	Colias eurytheme	0.0182370820668693
Lepidoptera	Colias alfacariensis	Colias hyale	0.0210526315789474
Lepidoptera	Colias crocea	Colias erate	0.0015220700152207
Lepidoptera	Colias crocea	Colias hyale	0.0531914893617021
Lepidoptera	Colias erate	Colias eurytheme	0.0328542094455852
Lepidoptera	Colias eurytheme	Colias interior	0.00578034682080925
Lepidoptera	Colias eurytheme	Colias philodice	0
Lepidoptera	Colias interior	Colias philodice	0.00578034682080925
Lepidoptera	Danaus erippus	Danaus plexippus	0.0353982300884956
Lepidoptera	Deilephila elpenor	Deilephila porcellus	0.0509857239972808
