Order	Suborder	Family	Sp1	Sp2	Distance
Diptera	Brachycera	Agromyzidae	Liriomyza trifolii	Liriomyza sativae	0.0772251308900524
Diptera	Brachycera	Calliphoridae	Chrysomya saffranea	Chrysomya megacephala	0.00651890482398957
Diptera	Brachycera	Calliphoridae	Lucilia sericata	Lucilia cuprina	0.0493273542600897
Diptera	Nematocera	Chironomidae	Chironomus plumosus	Average	0.0849475143592791
Diptera	Nematocera	Chironomidae	Chironomus riparius	Chironomus piger	0.146017699115044
Diptera	Nematocera	Chironomidae	Chironomus tentans	Chironomus pallidivittatus	0.0104633781763827
Diptera	Nematocera	Chironomidae	Glyptotendipes pallens	Glyptotendipes glaucus	0.0299065420560748
Diptera	Nematocera	Culicidae	Aedes zoosophus	Average	0.0126785193821043
Diptera	Nematocera	Culicidae	Anopheles arabiensis	Average	0.0225849931264791
Diptera	Nematocera	Culicidae	Anopheles beklemishevi	Anopheles atroparvus	0.0466257668711656
Diptera	Nematocera	Culicidae	Anopheles coluzzii	Average	0.0313924891902169
Diptera	Nematocera	Culicidae	Anopheles deaneorum	Anopheles albitarsis	0.0300653594771242
Diptera	Nematocera	Culicidae	Anopheles gambiae	Average	0.0137402584726301
Diptera	Nematocera	Culicidae	Anopheles minimus	Anopheles aconitus	0.0725115359261701
Diptera	Nematocera	Culicidae	Anopheles sinensis	Anopheles kleini	0.0212164073550212
Diptera	Nematocera	Culicidae	Culex quinquefasciatus	Culex pipiens	0.00260416666666667
Diptera	Nematocera	Culicidae	Ochlerotatus triseriatus	Ochlerotatus hendersoni	0.0334855403348554
Diptera	Brachycera	Drosophilidae	Drosophila antonietae	Average	0.0455490656897306
Diptera	Brachycera	Drosophilidae	Drosophila bipectinata	Average	0.0109289617486339
Diptera	Brachycera	Drosophilidae	Drosophila koepferae	Drosophila buzzatii	0
Diptera	Brachycera	Drosophilidae	Drosophila malerkotliana	Average	0.0144927536231884
Diptera	Brachycera	Drosophilidae	Drosophila montana	Average	0.0499288860758573
Diptera	Brachycera	Drosophilidae	Drosophila parapallidosa	Drosophila ananassae	0.181240063593005
Diptera	Brachycera	Drosophilidae	Drosophila pseudoananassae	Drosophila parabipectinata	0.0311804008908686
Diptera	Brachycera	Drosophilidae	Drosophila silvestris	Drosophila heteroneura	0.00621546961325967
Diptera	Brachycera	Drosophilidae	Drosophila simulans	Drosophila melanogaster	0.0598958333333333
Diptera	Brachycera	Drosophilidae	Drosophila takahashii	Drosophila lutescens	0.0234321157822192
Diptera	Brachycera	Drosophilidae	Drosophila testacea	Drosophila orientacea	0.0428994082840237
Diptera	Brachycera	Drosophilidae	Zaprionus tuberculatus	Zaprionus burlai	0.00427350427350427
Diptera	Brachycera	Glossinidae	Glossina swynnertoni	Glossina morsitans	0.0673886883273165
Diptera	Nematocera	Psychodidae	Lutzomyia longipalpis	Lutzomyia cruzi	0.0349544072948328
Diptera	Nematocera	Psychodidae	Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	0.0933786078098472
Diptera	Nematocera	Psychodidae	Phlebotomus perniciosus	Phlebotomus longicuspis	0.054014598540146
Diptera	Brachycera	Sepsidae	Sepsis neocynipsea	Sepsis cynipsea	0.00574712643678161
Diptera	Nematocera	Simuliidae	Simulium saxosum	Simulium arcticum	0.00610687022900763
Diptera	Brachycera	Tephritidae	Anastrepha fraterculus	Average	0.0111694028430359
Diptera	Brachycera	Tephritidae	Anastrepha sororcula	Anastrepha obliqua	0.0189473684210526
Diptera	Brachycera	Tephritidae	Bactrocera dorsalis	Bactrocera carambolae	0.0290322580645161
Diptera	Brachycera	Tephritidae	Bactrocera invadens	Bactrocera dorsalis	0.0274689339437541
Diptera	Brachycera	Tephritidae	Bactrocera philippinensis	Bactrocera occipitalis	0.0215404699738903
Diptera	Brachycera	Tephritidae	Bactrocera tryoni	Average	0.0561681127276017
Diptera	Brachycera	Tephritidae	Ceratitis rosa	Ceratitis fasciventris	0.0124858115777526
Diptera	Brachycera	Tephritidae	Rhagoletis cingulata	Rhagoletis cerasi	0.102040816326531
Diptera	Brachycera	Tephritidae	Rhagoletis zephyria	Average	0.00366568914956012
Diptera	Brachycera	Tephritidae	Rhagoletis zoqui	Rhagoletis ramosae	0
Hymenoptera	"Other"	Aphelinidae	Encarsia suzannae	Encarsia gennaroi	0.0369881109643329
Hymenoptera	"Other"	Apidae	Apis mellifera	Apis cerana	0.10864040660737
Hymenoptera	"Other"	Apidae	Tetragonula hockingsi	Tetragonula carbonaria	0.196374622356495
Hymenoptera	"Other"	Braconidae	Aphidius microlophii	Aphidius ervi	0.00589101620029455
Hymenoptera	"Other"	Braconidae	Cotesia chilonis	Average	0.0301282051282051
Hymenoptera	"Ant"	Formicidae	Camponotus ligniperda	Camponotus herculeanus	0.0745614035087719
Hymenoptera	"Ant"	Formicidae	Formica lugubris	Average	0.0187744135112556
Hymenoptera	"Ant"	Formicidae	Formica rufa	Formica polyctena	0.0303951367781155
Hymenoptera	"Ant"	Formicidae	Lasius latipes	Lasius claviger	0.062874251497006
Hymenoptera	"Ant"	Formicidae	Lasius platythorax	Lasius emarginatus	0.023696682464455
Hymenoptera	"Ant"	Formicidae	Lasius umbratus	Average	0.0502947182771744
Hymenoptera	"Ant"	Formicidae	Pogonomyrmex rugosus	Pogonomyrmex barbatus	0.0342205323193916
Hymenoptera	"Ant"	Formicidae	Solenopsis richteri	Solenopsis invicta	0.0490837696335079
Hymenoptera	"Ant"	Formicidae	Solenopsis xyloni	Solenopsis geminata	0.122599704579025
Hymenoptera	"Ant"	Formicidae	Temnothorax crassispinus	Temnothorax crasecundus	0.00920245398773006
Hymenoptera	"Ant"	Formicidae	Temnothorax nigriceps	Average	0.0948322580645161
Hymenoptera	"Ant"	Formicidae	Temnothorax nylanderi	Temnothorax crassispinus	0.0276073619631902
