Order	Suborder	Family	Cross	Distance
Diptera	Brachycera	Agromyzidae	Liriomyza_trifolii_X_Liriomyza_sativae	0.0772251308900524
Diptera	Brachycera	Calliphoridae	Chrysomya_saffranea_X_Chrysomya_megacephala	0.00651890482398957
Diptera	Brachycera	Calliphoridae	Lucilia_sericata_X_Lucilia_cuprina	0.0493273542600897
Diptera	Brachycera	Drosophilidae	Drosophila_antonietae_X_Average	0.0455490656897306
Diptera	Brachycera	Drosophilidae	Drosophila_bipectinata_X_Average	0.0109289617486339
Diptera	Brachycera	Drosophilidae	Drosophila_koepferae_X_Drosophila_buzzatii	0
Diptera	Brachycera	Drosophilidae	Drosophila_malerkotliana_X_Average	0.0144927536231884
Diptera	Brachycera	Drosophilidae	Drosophila_montana_X_Average	0.0499288860758573
Diptera	Brachycera	Drosophilidae	Drosophila_parapallidosa_X_Drosophila_ananassae	0.181240063593005
Diptera	Brachycera	Drosophilidae	Drosophila_pseudoananassae_X_Drosophila_parabipectinata	0.0311804008908686
Diptera	Brachycera	Drosophilidae	Drosophila_silvestris_X_Drosophila_heteroneura	0.00621546961325967
Diptera	Brachycera	Drosophilidae	Drosophila_simulans_X_Drosophila_melanogaster	0.0598958333333333
Diptera	Brachycera	Drosophilidae	Drosophila_takahashii_X_Drosophila_lutescens	0.0234321157822192
Diptera	Brachycera	Drosophilidae	Drosophila_testacea_X_Drosophila_orientacea	0.0428994082840237
Diptera	Brachycera	Drosophilidae	Zaprionus_tuberculatus_X_Zaprionus_burlai	0.00427350427350427
Diptera	Brachycera	Glossinidae	Glossina_swynnertoni_X_Glossina_morsitans	0.0673886883273165
Diptera	Brachycera	Sepsidae	Sepsis_neocynipsea_X_Sepsis_cynipsea	0.00574712643678161
Diptera	Brachycera	Tephritidae	Anastrepha_fraterculus_X_Average	0.0111694028430359
Diptera	Brachycera	Tephritidae	Anastrepha_sororcula_X_Anastrepha_obliqua	0.0189473684210526
Diptera	Brachycera	Tephritidae	Bactrocera_dorsalis_X_Bactrocera_carambolae	0.0283870967741936
Diptera	Brachycera	Tephritidae	Bactrocera_invadens_X_Bactrocera_dorsalis	0.026814911706998
Diptera	Brachycera	Tephritidae	Bactrocera_philippinensis_X_Bactrocera_occipitalis	0.0215404699738903
Diptera	Brachycera	Tephritidae	Bactrocera_tryoni_X_Average	0.0561681127276017
Diptera	Brachycera	Tephritidae	Ceratitis_rosa_X_Ceratitis_fasciventris	0.0124858115777526
Diptera	Brachycera	Tephritidae	Rhagoletis_cingulata_X_Rhagoletis_cerasi	0.102040816326531
Diptera	Brachycera	Tephritidae	Rhagoletis_zephyria_X_Average	0.00366568914956012
Diptera	Brachycera	Tephritidae	Rhagoletis_zoqui_X_Rhagoletis_ramosae	0
Diptera	Nematocera	Chironomidae	Chironomus_plumosus_X_Average	0.0849475143592791
Diptera	Nematocera	Chironomidae	Chironomus_riparius_X_Chironomus_piger	0.14306784660767
Diptera	Nematocera	Chironomidae	Chironomus_tentans_X_Chironomus_pallidivittatus	0.0104633781763827
Diptera	Nematocera	Culicidae	Aedes_zoosophus_X_Average	0.00912432397422196
Diptera	Nematocera	Culicidae	Anopheles_arabiensis_X_Average	0.0240860635815954
Diptera	Nematocera	Culicidae	Anopheles_beklemishevi_X_Anopheles_atroparvus	0.0466257668711656
Diptera	Nematocera	Culicidae	Anopheles_coluzzii_X_Average	0.0313924891902169
Diptera	Nematocera	Culicidae	Anopheles_deaneorum_X_Anopheles_albitarsis	0.0294117647058824
Diptera	Nematocera	Culicidae	Anopheles_gambiae_X_Average	0.0140668424047007
Diptera	Nematocera	Culicidae	Anopheles_minimus_X_Anopheles_aconitus	0.0725115359261701
Diptera	Nematocera	Culicidae	Anopheles_sinensis_X_Anopheles_kleini	0.0212164073550212
Diptera	Nematocera	Culicidae	Culex_quinquefasciatus_X_Culex_pipiens	0.00260416666666667
Diptera	Nematocera	Psychodidae	Lutzomyia_longipalpis_X_Lutzomyia_cruzi	0.0349544072948328
Diptera	Nematocera	Psychodidae	Lutzomyia_pseudolongipalpis_X_Lutzomyia_longipalpis	0.0933786078098472
Diptera	Nematocera	Psychodidae	Phlebotomus_perniciosus_X_Phlebotomus_longicuspis	0.054014598540146
Diptera	Nematocera	Simuliidae	Simulium_saxosum_X_Simulium_arcticum	0.00458015267175573
Hymenoptera	"Ant"	Formicidae	Camponotus_ligniperda_X_Camponotus_herculeanus	0.0745614035087719
Hymenoptera	"Ant"	Formicidae	Formica_lugubris_X_Average	0.0187744135112556
Hymenoptera	"Ant"	Formicidae	Formica_rufa_X_Formica_polyctena	0.0303951367781155
Hymenoptera	"Ant"	Formicidae	Lasius_latipes_X_Lasius_claviger	0.062874251497006
Hymenoptera	"Ant"	Formicidae	Lasius_platythorax_X_Lasius_emarginatus	0.023696682464455
Hymenoptera	"Ant"	Formicidae	Lasius_umbratus_X_Lasius_meridionalis	0.0481203007518797
Hymenoptera	"Ant"	Formicidae	Pogonomyrmex_rugosus_X_Pogonomyrmex_barbatus	0.0342205323193916
Hymenoptera	"Ant"	Formicidae	Solenopsis_richteri_X_Solenopsis_invicta	0.0490837696335079
Hymenoptera	"Ant"	Formicidae	Solenopsis_xyloni_X_Solenopsis_geminata	0.122599704579025
Hymenoptera	"Ant"	Formicidae	Temnothorax_crassispinus_X_Temnothorax_crasecundus	0.00920245398773006
Hymenoptera	"Ant"	Formicidae	Temnothorax_nigriceps_X_Average	0.0948322580645161
Hymenoptera	"Ant"	Formicidae	Temnothorax_nylanderi_X_Temnothorax_crassispinus	0.0276073619631902
Hymenoptera	"Ant"	Formicidae	Tetramorium_immigrans_X_Tetramorium_caespitum	0.0556318681318681
Hymenoptera	"Other"	Apidae	Apis_mellifera_X_Apis_cerana	0.10864040660737
Hymenoptera	"Other"	Apidae	Tetragonula_hockingsi_X_Tetragonula_carbonaria	0.196374622356495
Hymenoptera	"Other"	Braconidae	Aphidius_microlophii_X_Aphidius_ervi	0.00589101620029455
Hymenoptera	"Other"	Braconidae	Cotesia_chilonis_X_Average	0.0301282051282051
Hymenoptera	"Other"	Pteromalidae	Nasonia_giraulti_X_Average	0.0846706028074015
Hymenoptera	"Other"	Pteromalidae	Nasonia_vitripennis_X_Nasonia_longicornis	0.0957960027567195
Hymenoptera	"Other"	Torymidae	Torymus_sinensis_X_Torymus_beneficus	0.0443349753694581
Lepidoptera	"Butterfly"	Hesperiidae	Pelopidas_mathias_X_Pelopidas_agna	0.0434782608695652
Lepidoptera	"Butterfly"	Hesperiidae	Pyrgus_malvoides_X_Pyrgus_malvae	0.00911854103343465
Lepidoptera	"Butterfly"	Lycaenidae	Aricia_artaxerxes_X_Aricia_agestis	0.0220162224797219
Lepidoptera	"Butterfly"	Lycaenidae	Callophrys_rubi_X_Ahlbergia_frivaldszkyi	0.00606980273141123
Lepidoptera	"Butterfly"	Lycaenidae	Plebejus_melissa_X_Plebejus_idas	0.0170818505338078
Lepidoptera	"Butterfly"	Lycaenidae	Pseudophilotes_vicrama_X_Pseudophilotes_baton	0.00766550522648084
Lepidoptera	"Butterfly"	Lycaenidae	Zizina_otis_X_Zizina_emelina	0.0137404580152672
Lepidoptera	"Butterfly"	Lycaenidae	Zizina_oxleyi_X_Zizina_labradus	0.0205047318611987
Lepidoptera	"Butterfly"	Nymphalidae	Anartia_fatima_X_Anartia_amathea	0.026602176541717
Lepidoptera	"Butterfly"	Nymphalidae	Coenonympha_gardetta_X_Coenonympha_arcania	0.00994318181818182
Lepidoptera	"Butterfly"	Nymphalidae	Danaus_plexippus_X_Danaus_erippus	0.0353982300884956
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_calcarius_X_Average	0.000759878419452888
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_cassioides_X_Average	0.00376970527758739
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_pronoe_X_Erebia_epiphron	0.05453306066803
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_cydno_X_Average	0.0253254537649142
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_heurippa_X_Average	0.0163390021149017
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_himera_X_Heliconius_erato	0.0401633764465623
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_melpomene_X_Average	0.0242628062897106
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_peruvianus_X_Heliconius_charithonia	0.0709413369713506
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis_archippus_X_Average	0.0324103488426869
Lepidoptera	"Butterfly"	Nymphalidae	Maniola_nurag_X_Average	0.0147275405007364
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea_acentria_X_Melitaea_acentria	0
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea_phoebe_X_Melitaea_ornata	0.0226337448559671
Lepidoptera	"Butterfly"	Nymphalidae	Phyciodes_tharos_X_Average	0.016414058119207
Lepidoptera	"Butterfly"	Papilionidae	Iphiclides_podalirius_X_Iphiclides_feisthamelii	0.00140252454417952
Lepidoptera	"Butterfly"	Papilionidae	Papilio_aegeus_X_Average	0.0722092697012809
Lepidoptera	"Butterfly"	Papilionidae	Papilio_bianor_X_Average	0.0476831022017052
Lepidoptera	"Butterfly"	Papilionidae	Papilio_brevicauda_X_Average	0.0281324033365288
Lepidoptera	"Butterfly"	Papilionidae	Papilio_constantinus_X_Average	0.0684317930271168
Lepidoptera	"Butterfly"	Papilionidae	Papilio_demoleus_X_Average	0.0697197656198227
Lepidoptera	"Butterfly"	Papilionidae	Papilio_eurymedon_X_Average	0.0238095238095238
Lepidoptera	"Butterfly"	Papilionidae	Papilio_fuscus_X_Average	0.0729483282674772
Lepidoptera	"Butterfly"	Papilionidae	Papilio_glaucus_X_Average	0.0229622075761349
Lepidoptera	"Butterfly"	Papilionidae	Papilio_helenus_X_Average	0.0747771721409023
