Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids	Authors	Year
Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	Laboratory	?	Y	Y	?	?	Arrivillaga, J; Salerno, P; Rangel, Y.	2009
Evandromyia carmelinoi	Evandromyia lenti	Laboratory	?	Y	Y	Y	Y	dos Reis, YV; Alevi, KCC.	2020
Phlebotomus papatasi	Phlebotomus duboscqi	Laboratory	?	Y	Y	N	N	dos Reis, YV; Alevi, KCC.	2020
Phlebotomus papatasi	Phlebotomus bergeroti	Laboratory	?	Y	Y	Y	N	dos Reis, YV; Alevi, KCC.	2020
Themira lohmanus	Themira biloba	Laboratory	Y	Y	N	N	N	Ang, YC; Rajaratnam, G; Su, KFY; Meier, R.	2017
Anopheles albitarsis	Anopheles deaneorum	Laboratory	?	Y	Y	Y	Y	Lima, JBP; Valle, D; Peixoto, AA.	2004
Drosophila testacea	Drosophila orientacea	Laboratory	Y	Y	Y	Y	Y	GRIMALDI, D; JAMES, AC; JAENIKE, J.	1992
Drosophila neotestacea	Drosophila orientacea	Laboratory	Y	Y	N	N	N	GRIMALDI, D; JAMES, AC; JAENIKE, J.	1992
Drosophila testacea	Drosophila neotestacea	Laboratory	Y	Y	N	N	N	GRIMALDI, D; JAMES, AC; JAENIKE, J.	1992
Drosophila silvestris	Drosophila heteroneura	Laboratory	Y	Y	Y	Y	Y	PRICE, DK; BOAKE, CRB.	1995
Drosophila denruoi	Drosophila tsigana	Laboratory	?	Y	N	N	N	Suwito, A; Toda, MJ; Takamori, H; Harada, K; Watabe, H.	2014
Anastrepha bistrigata	Anastrepha striata	Laboratory	?	N	N	N	N	Selivon, D; Morgante, J.	1997
Rhagoletis cingulata	Rhagoletis indifferens	Laboratory	?	Y	?	?	?	Doellman, MM; Schuler, H; Saint, GJ; Hood, GR; Egan, SP; Powell, THQ; Glover, MM; Bruzzese, DJ; Smith, JJ; Yee, WL; Goughnour, RB; Rull, J; Aluja, M; Feder, JL.	2019
