Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids	Authors	Year
Trichogramma kaykai	Trichogramma deion	Laboratory	?	Y	Y	N	NA	Jeong, G; Stouthamer, R.	2006
Encarsia gennaroi	Encarsia suzannae	Laboratory	Y	Y	Y	Y	NA	Gebiola, M; Kelly, SE; Hammerstein, P; Giorgini, M; Hunter, MS.	2016
Nasonia giraulti	Nasonia vitripennis	Laboratory	Y	N	N	N	NA	Mair, MM; Kmezic, V; Huber, S; Pannebakker, BA; Ruther, J.	2017
Nasonia longicornis	Nasonia vitripennis	Laboratory	Y	N	N	N	NA	Beukeboom, LW; van den Assem, J.	2001
Camponotus herculeanus	Camponotus ligniperda	Field	Y	Y	Y	?	NA	Seifert, B.	2019
Athalia rosae	Athalia infumata	Laboratory	Y	Y	?	?	NA	SAWA, M.	1991
Trissolcus plautiae	Trissolcus japonicus	Laboratory	?	N	N	N	NA	Matsuo, K; Hirose, Y; Johnson, NF.	2014
Aphidius microlophii	Aphidius eadyi	Laboratory	N	Y	Y	?	NA	Atanassova, P; Brookes, CP; Loxdale, HD; Powell, W.	1998
Camponotus herculeanus	Camponotus ligniperda	Field	Y	Y	Y	?	NA	Seifert, B.	2019
Neodiprion pinetum	Neodiprion lecontei	Laboratory	Y	Y	Y	Y	NA	Bendall, EE; Vertacnik, KL; Linnen, CR.	2017
Encarsia inaron	Encarsia partenopea	Laboratory	N	N	N	N	NA	Gebiola, M; White, JA; Cass, BN; Kozuch, A; Harris, LR; Kelly, SE; Karimi, J; Giorgini, M; Perlman, SJ; Hunter, MS.	2016
Polistes fuscatus	Polistes metricus	Laboratory	Y	?	?	?	NA	Miller, SE; Legan, AW; Flores, ZA; Ng, HY; Sheehan, MJ.	2019
Plutella xylostella	Plutella australiana	Laboratory	?	Y	Y	Y	NA	Perry, KD; Baker, GJ; Powis, KJ; Kent, JK; Ward, CM; Baxter, SW.	2018
Apis cerana	Apis mellifera	Field	Y	Y	N	N	NA	Remnant, EJ; Koetz, A; Tan, K; Hinson, E; Beekman, M; Oldroyd, BP.	2014
