Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids	Authors	Year
Orchelimum nigripes	Orchelimum pulchellum	Laboratory	Y	Y	Y	?	?	Shapiro, LH.	2000
Chorthippus brunneus	Chorthippus jacobsi	Laboratory	Y	Y	Y	Y	Y	Saldamando, CI; Tatsuta, H; Butlin, RK.	2005
Tetrix undulata	Tetrix subulata	Laboratory	Y	?	?	?	?	Hochkirch, A; Bucker, A; Groning, J	2008
Allonemobius fasciatus	Allonemobius socius	Laboratory	Y	Y	Y	Y	Y	GREGORY, PG; HOWARD, DJ.	1993
Cyphoderris buckelli	Cyphoderris monstrosa	Field	Y	N	N	N	N	Dupuis, JR; Judge, KA; Brunet, BMT; Chan, SO; Sperling, FAH.	2020
Chorthippus albomarginatus	Chorthippus oschei	Laboratory	Y	Y	Y	Y	Y	Vedenina, VY; Kulygina, NK; Panyutin, AK.	2007
Chorthippus biguttulus	Chorthippus brunneus	Laboratory	Y	Y	Y	Y	N	Gottsberger, B; Mayer, F.	2019
Chorthippus albomarginatus	Chorthippus karelini	Laboratory	Y	Y	Y	Y	?	Vedenina, VY.	2015
Chorthippus oschei	Chorthippus karelini	Laboratory	Y	Y	Y	Y	?	Vedenina, VY.	2015
Dociostaurus curvicercus	Dociostaurus jagoi	Laboratory	N	Y	N	N	N	BLONDHEIM, SA.	1990
Podisma tyatiensis	Podisma sapporensis	Laboratory	Y	Y	N	N	N	Bugrov, AG; Warchalowska-Sliwa, E; Akimoto, S.	2005
Tetrix ceperoi	Tetrix subulata	Field	Y	?	?	?	?	Hochkirch, A; Deppermann, J; Groning, J.	2006
Chorthippus biguttulus	Chorthippus mollis	Laboratory	Y	Y	Y	Y	N	Finck, J; Ronacher, B.	2017
Gryllus staccato	Gryllus lineaticeps	Laboratory	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA.	2016
Gryllus staccato	Gryllus personatus	Laboratory	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA.	2016
Gryllus lineaticeps	Gryllus personatus	Laboratory	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA.	2016
Gryllus bimaculatus	Gryllus campestris	Laboratory	Y	Y	Y	?	?	Veen, T; Faulks, J; Tyler, F; Lloyd, J; Tregenza, T.	2013
Melanoplus sanguinipes	Melanoplus devastator	Laboratory	Y	Y	Y	?	?	Orr, MR.	1996
Gryllus firmus	Gryllus pennsylvanicus	Laboratory	Y	Y	Y	?	?	Maroja, LS; Andres, JA; Walters, JR; Harrison, RG.	2009
Chorthippus parallelus	Chorthippus montanus	Laboratory	Y	Y	Y	Y	Y	Rohde, K; Hau, Y; Weyer, J; Hochkirch, A.	2015
Stenobothrus rubicundulus	Stenobothrus clavatus	Laboratory	Y	Y	Y	Y	Y	Sradnick, J; Klopfel, A; Elsner, N; Vedenina, V.	2016
