Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Diptera	Aedes aegypti	Aedes albopictu	N	Y	N	N	N	HARPER, JP; PAULSON, SL, 1994
Diptera	Anastrepha bistrigata	Anastrepha striata	?	N	N	N	N	Selivon, D; Morgante, J, 1997
Diptera	Anastrepha fraterculus	Anastrepha obliqua	Y	Y	Y	?	?	Rull, J; Tadeo, E; Lasa, R; Rodriguez, CL; Altuzar-Molina, A; Aluja, M, 2018
Diptera	Anopheles albitarsis	Anopheles deaneorum	?	Y	Y	Y	Y	Lima, JBP; Valle, D; Peixoto, AA, 2004
Diptera	Anopheles gambiae	Anopheles coluzzii	Y	Y	Y	Y	Y	Caputo, B; Tondossoma, N; Virgillito, C; Pichler, V; Serini, P; Calzetta, M; Manica, M; Coulibaly, ZI; Dia, I; Akr, M; Offianan, A; della Torre, A, 2022
Diptera	Anopheles merus	Anopheles coluzzii	?	Y	Y	Y	N	Liang, JT; Hodge, JM; Sharakhov, IV, 2021
Diptera	Anopheles merus	Anopheles gambiae	?	Y	Y	Y	N	Liang, JT; Hodge, JM; Sharakhov, IV, 2021
Diptera	Anopheles sinensis	Anopheles pullus	?	Y	Y	N	N	Kim, SJ; Choochote, W; Jitpakdi, A; Junkum, A; Ahn, DA; Baek, JA; Park, MH; Kim, MS; Chung, KW; Min, GS, 2005
Diptera	Bactrocera tryoni	Bactrocera neohumeralis	Y	Y	Y	Y	Y	Pike, N; Meats, A, 2002
Diptera	Chironomus riparius	Chironomus piger	Y	Y	Y	Y	Y	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M, 2019
Diptera	Drosophila ananassae	Drosophila pallidosa	?	Y	Y	Y	Y	Matsuda, M; Ng, CS; Doi, M; Kopp, A; Tobari, YN, 2009
Diptera	Drosophila denruoi	Drosophila tsigana	?	Y	N	N	N	Suwito, A; Toda, MJ; Takamori, H; Harada, K; Watabe, H, 2014
Diptera	Drosophila lini	Drosophila ogumai	Y	Y	Y	Y	N	Zannat, MT; Toda, MJ, 2002
Diptera	Drosophila lini	Drosophila ogumai	Y	Y	Y	Y	N	Zannat, MT; Toda, MJ, 2002
