Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	RI	Barrier
Diptera	Aedes aegypti	Aedes albopictu	N	Y	N	N	N	1	Assortative Mating
Diptera	Anastrepha bistrigata	Anastrepha striata	?	N	N	N	N	0.8	Oviposition
Diptera	Anopheles gambiae	Anopheles coluzzii	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Anopheles merus	Anopheles coluzzii	?	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Anopheles merus	Anopheles gambiae	?	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Anopheles sinensis	Anopheles pullus	?	Y	Y	N	N	0.4	Hybrid Sterility
Diptera	Bactrocera tryoni	Bactrocera neohumeralis	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Chironomus riparius	Chironomus piger	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Drosophila denruoi	Drosophila tsigana	?	Y	N	N	N	0.6	Hybrid Inviability
Diptera	Drosophila lini	Drosophila ogumai	Y	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Drosophila lini	Drosophila ogumai	Y	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Drosophila mojavensis	Drosophila arizonae	?	N	N	N	N	0.8	Oviposition
Diptera	Drosophila neotestacea	Drosophila orientacea	Y	Y	N	N	N	0.6	Hybrid Inviability
Diptera	Drosophila nepalensis	Drosophila trilutea	?	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Drosophila ogumai	Drosophila ohnishii	Y	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Drosophila silvestris	Drosophila heteroneura	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Drosophila testacea	Drosophila neotestacea	Y	Y	N	N	N	0.6	Hybrid Inviability
Diptera	Drosophila testacea	Drosophila orientacea	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Liriomyza trifolii	Liriomyza sativae	?	Y	Y	N	N	0.4	Hybrid Sterility
Diptera	Phlebotomus papatasi	Phlebotomus bergeroti	?	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Phlebotomus papatasi	Phlebotomus duboscqi	?	Y	Y	N	N	0.4	Hybrid Sterility
Diptera	Rhagoletis berberis	Rhagoletis suavis	N	?	?	?	?	1	Assortative Mating
Diptera	Rhagoletis completa	Rhagoletis zoqui	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Rhagoletis conversa	Rhagoletis brncici	N	N	N	N	N	1	Assortative Mating
Diptera	Rhagoletis indifferens	Rhagoletis basiola	N	?	?	?	?	1	Assortative Mating
Diptera	Rhagoletis indifferens	Rhagoletis pomonella	N	?	?	?	?	1	Assortative Mating
Diptera	Rhagoletis indifferens	Rhagoletis suavis	N	?	?	?	?	1	Assortative Mating
Diptera	Rhagoletis mendax	Rhagoletis zephyria	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Diptera	Rhagoletis pomonella	Rhagoletis basiola	N	?	?	?	?	1	Assortative Mating
Diptera	Rhagoletis pomonella	Rhagoletis suavis	N	?	?	?	?	1	Assortative Mating
Diptera	Sepsis neocynipsea	Sepsis cynipsea	Y	Y	Y	Y	N	0.2	Haldanes Rule
Diptera	Sepsis pyrrhosoma	Sepsis flavimana	N	Y	Y	N	N	1	Assortative Mating
Diptera	Telostylinus lineolatus	Telostylinus angusticollis	Y	Y	N	N	N	0.6	Hybrid Inviability
Diptera	Themira lohmanus	Themira biloba	Y	Y	N	N	N	0.6	Hybrid Inviability
Diptera	Urophora affinis	Urophora quadrifasciata	N	N	N	N	N	1	Assortative Mating
Diptera	Zonosemata electa	Rhagoletis pomonella	N	?	?	?	?	1	Assortative Mating
Hymenoptera	Aphidius microlophii	Aphidius eadyi	N	Y	Y	NA	?	1	Assortative Mating
Hymenoptera	Apis cerana	Apis mellifera	Y	Y	N	NA	N	0.6	Hybrid Inviability
Hymenoptera	Encarsia gennaroi	Encarsia suzannae	Y	Y	Y	NA	Y	0	Fertile F1 Hybrids
Hymenoptera	Encarsia inaron	Encarsia partenopea	N	N	N	NA	N	1	Assortative Mating
Hymenoptera	Nasonia giraulti	Nasonia vitripennis	Y	N	N	NA	N	0.8	Oviposition
Hymenoptera	Nasonia longicornis	Nasonia vitripennis	Y	N	N	NA	N	0.8	Oviposition
Hymenoptera	Neodiprion pinetum	Neodiprion lecontei	Y	Y	Y	NA	Y	0	Fertile F1 Hybrids
Hymenoptera	Trichogramma kaykai	Trichogramma deion	?	Y	Y	NA	N	0.2	Haldanes Rule
Hymenoptera	Trissolcus plautiae	Trissolcus japonicus	?	N	N	NA	N	0.8	Oviposition
Lepidoptera	Busseola fusca	Busseola nairobica	N	N	N	N	N	1	Assortative Mating
Lepidoptera	Busseola segeta	Busseola nairobica	N	Y	N	N	N	1	Assortative Mating
Lepidoptera	Colias eurytheme	Colias philodice	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Lepidoptera	Danaus erippus	Danaus plexippus	N	Y	Y	N	N	1	Assortative Mating
Lepidoptera	Earias vittella	Earias insulana	Y	N	N	N	N	0.8	Oviposition
Lepidoptera	Heliconius elevatus	Heliconius pardalinus	N	Y	Y	Y	N	1	Assortative Mating
Lepidoptera	Heliconius erato	Heliconius himera	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Lepidoptera	Malacosoma americanum	Malacosoma disstria	?	?	N	?	?	0.6	Hybrid Inviability
Lepidoptera	Ostrinia furnacalis	Ostrinia nubilalis	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Lepidoptera	Ostrinia furnacalis	Ostrinia scapulalis	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Lepidoptera	Ostrinia nubilalis	Ostrinia scapulalis	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Lepidoptera	Spodoptera exigua	Spodoptera litura	N	?	?	?	?	1	Assortative Mating
Odonata	Aeshna affinis	Aeshna cyanea	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna canadensis	Aeshna subarctica	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna confusa	Aeshna diffinis	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Aeshna cyanea	Aeshna juncea	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Aeshna cyanea	Cordulegaster boltonii	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna cyanea	Sympetrum striolatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna grandis	Aeshna viridis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna interrupta	Aeshna canadensis	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Aeshna juncea	Aeshna mixta	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna subarctica	Aeshna juncea	N	N	N	NA	NA	1	Assortative Mating
Odonata	Aeshna subarctica	Aeshna mixta	N	N	N	NA	NA	1	Assortative Mating
Odonata	Anax imperator	Aeshna juncea	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Anax imperator	Anax parthenope	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Anax imperator	Cordulegaster boltonii	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Anax junius	Anax strenuus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Anax junius	Anax walsinghami	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Anax nigrofasciatus	Anax parthenope	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Argia emma	Argia vivida	N	N	N	NA	NA	1	Assortative Mating
Odonata	Argia emma	Enallagma carunculatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Argia plana	Argia moesta	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Argia sedula	Enallagma basidens	N	N	N	NA	NA	1	Assortative Mating
Odonata	Argia tibialis	Argia moesta	N	N	N	NA	NA	1	Assortative Mating
Odonata	Argia tibialis	Lestes dryas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Boyeria grafiana	Boyeria vinosa	N	N	N	NA	NA	1	Assortative Mating
Odonata	Brachytron pratense	Libellula quadrimaculata	N	N	N	NA	NA	1	Assortative Mating
Odonata	Calopteryx aequabilis	Calopteryx maculata	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Calopteryx dimidiata	Calopteryx maculata	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Calopteryx haemorrhoidalis	Calopteryx splendens	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Calopteryx orientalis	Calopteryx samarcandica	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Calopteryx splendens	Calopteryx virgo	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
