Order	Sp1	Sp2	RI	Gen	Barrier
Orthoptera	Chorthippus albomarginatus	Chorthippus oschei	0	0.0121739130434783	Fertile F1 Hybrids
Orthoptera	Chorthippus biguttulus	Chorthippus brunneus	0.2	0.00303951367781155	Haldane's Rule
Orthoptera	Chorthippus biguttulus	Chorthippus mollis	0.2	0.00151975683890578	Haldane's Rule
Orthoptera	Chorthippus brunneus	Chorthippus jacobsi	0	0.00871080139372822	Fertile F1 Hybrids
Orthoptera	Chorthippus parallelus	Chorthippus montanus	0	0.0440729483282675	Fertile F1 Hybrids
Orthoptera	Cyphoderris buckelli	Cyphoderris monstrosa	0.8	0.0721804511278196	Oviposition
Orthoptera	Stenobothrus rubicundulus	Stenobothrus clavatus	0	0.00104712041884817	Fertile F1 Hybrids
Diptera	Anastrepha bistrigata	Anastrepha striata	0.8	0.0218068535825545	Oviposition
Diptera	Anopheles gambiae	Anopheles coluzzii	0	0.0208197787898504	Fertile F1 Hybrids
Diptera	Anopheles merus	Anopheles coluzzii	0.2	0.0295698924731183	Haldane's Rule
Diptera	Anopheles merus	Anopheles gambiae	0.2	0.0182309250506415	Haldane's Rule
Diptera	Anopheles sinensis	Anopheles pullus	0.4	0.0493653032440056	Hybrid Sterility
Diptera	Bactrocera tryoni	Bactrocera neohumeralis	0	0.00736771600803751	Fertile F1 Hybrids
Diptera	Chironomus riparius	Chironomus piger	0	0.146017699115044	Fertile F1 Hybrids
Diptera	Drosophila lini	Drosophila ogumai	0.2	0.0137075718015666	Haldane's Rule
Diptera	Drosophila mojavensis	Drosophila arizonae	0.8	0.0227963525835866	Oviposition
Diptera	Drosophila neotestacea	Drosophila orientacea	0.6	0.0502958579881657	Hybrid Inviability
Diptera	Drosophila nepalensis	Drosophila trilutea	0.2	0.00764525993883792	Haldane's Rule
Diptera	Drosophila ogumai	Drosophila ohnishii	0.2	0.0143509458577952	Haldane's Rule
Diptera	Drosophila silvestris	Drosophila heteroneura	0	0.00621546961325967	Fertile F1 Hybrids
Diptera	Drosophila testacea	Drosophila neotestacea	0.6	0.0531757754800591	Hybrid Inviability
Diptera	Drosophila testacea	Drosophila orientacea	0	0.0428994082840237	Fertile F1 Hybrids
Diptera	Liriomyza trifolii	Liriomyza sativae	0.4	0.0772251308900524	Hybrid Sterility
Diptera	Phlebotomus papatasi	Phlebotomus bergeroti	0.2	0.00439882697947214	Haldane's Rule
Diptera	Phlebotomus papatasi	Phlebotomus duboscqi	0.4	0.101071975497703	Hybrid Sterility
Diptera	Rhagoletis berberis	Rhagoletis suavis	1	0.0532544378698225	Assortative Mating + 
Mechanical Isolation
Diptera	Rhagoletis completa	Rhagoletis zoqui	0	0.002	Fertile F1 Hybrids
Diptera	Rhagoletis indifferens	Rhagoletis basiola	1	0.0795533845080251	Assortative Mating + 
Mechanical Isolation
Diptera	Rhagoletis indifferens	Rhagoletis pomonella	1	0.0745341614906832	Assortative Mating + 
Mechanical Isolation
Diptera	Rhagoletis indifferens	Rhagoletis suavis	1	0.0527404343329886	Assortative Mating + 
Mechanical Isolation
