Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids
Spodoptera latitascia	Spodoptera descoinsi	Laboratory	?	Y	Y	Y	Y
Yponomeuta padella	Yponomeuta cagnagella	Laboratory	?	Y	Y	Y	Y
Busseola segeta	Busseola nairobica	Laboratory	N	Y	N	N	N
Busseola segeta	Busseola fusca	Laboratory	N	N	N	N	N
Busseola fusca	Busseola nairobica	Laboratory	N	N	N	N	N
Dahlica charlottae	Dahlica lazuri	Laboratory	Y	Y	N	N	N
Dahlica charlottae	Dahlica lichenella	Laboratory	Y	Y	N	N	N
Dahlica charlottae	Siederia listerella	Laboratory	Y	N	N	N	N
Dahlica charlottae	Siederia rupicolella	Laboratory	Y	N	N	N	N
Dahlica lazuri	Dahlica lichenella	Laboratory	Y	Y	N	N	N
Dahlica lazuri	Siederia listerella	Laboratory	Y	Y	N	N	N
Dahlica lazuri	Siederia rupicolella	Laboratory	Y	Y	N	N	N
Dahlica lichenella	Siederia listerella	Laboratory	Y	N	N	N	N
Dahlica lichenella	Siederia rupicolella	Laboratory	Y	Y	N	N	N
Siederia listerella	Siederia rupicolella	Laboratory	Y	N	N	N	N
Sesamia cretica	Sesamia nonagrioides	Field	N	?	?	?	?
Heliconius cydno	Heliconius melpomene	Field	Y	Y	Y	Y	N
Heliconius timareta	Heliconius melpomene	Field	Y	Y	Y	Y	Y
Papilio canadensis	Papilio glaucus	Field	Y	Y	Y	Y	Y
Etiella zinckenella	Etiella hobsoni	Laboratory	N	?	?	?	?
Helicoverpa armigera	Helicoverpa assulta	Laboratory	N	Y	Y	Y	Y
Lymantria monacha	Lymantria fumida	Field	N	?	?	?	?
Platyptilia carduidactyla	Platyptilia williamsii	Field	N	N	N	N	N
Spodoptera littoralis	Spodoptera litura	Laboratory	Y	Y	N	N	N
Chloridea virescens	Heliothis subflexa	Laboratory	Y	Y	Y	Y	N
Danaus chrysippus	Danaus genutia	Field	Y	N	N	N	N
Lycaeides idas	Lycaeides melissa	Field	Y	Y	Y	Y	Y
Leptidea sinapis	Leptidea reali	Field	N	N	N	N	N
Leptidea sinapis	Leptidea juvernica	Laboratory	N	N	N	N	N
Leptidea reali	Leptidea juvernica	Laboratory	N	N	N	N	N
Choristoneura fumiferana	Choristoneura pinus	Field	Y	Y	Y	Y	?
Darna bradleyi	Darna trima	Field	N	?	?	?	?
Darna bradleyi	Setothosea asigna	Field	N	?	?	?	?
Darna bradleyi	Setora nitens	Field	N	?	?	?	?
Darna trima	Setothosea asigna	Field	N	?	?	?	?
Darna trima	Setora nitens	Field	N	?	?	?	?
Setothosea asigna	Setora nitens	Field	N	?	?	?	?
Melitaea acentria	Melitaea didyma	Field	Y	Y	Y	Y	?
Pieris napi	Pieris macdunnoughii	Laboratory	?	Y	Y	Y	Y
Pieris napi	Pieris virginiensis	Laboratory	?	Y	Y	N	N
Pieris napi	Pieris marginalis	Laboratory	?	Y	Y	Y	Y
Pieris napi	Pieris oleracea	Laboratory	?	Y	Y	Y	Y
Pieris napi	Pieris microstriata	Laboratory	?	Y	Y	Y	N
Pieris oleracea	Pieris virginiensis	Laboratory	Y	N	N	N	N
Pieris oleracea	Pieris marginalis	Laboratory	?	Y	Y	Y	Y
Trichoplusia ni	Chrysodeixis includens	Laboratory	N	N	N	N	N
Plutella xylostella	Plutella australiana	Laboratory	N	Y	Y	Y	N
Heliconius cydno	Heliconius pachinus	Field	Y	Y	Y	Y	Y
Danaus erippus	Danaus plexippus	Laboratory	N	Y	Y	N	N
Papilio machaon	Papilio hospiton	Laboratory	Y	Y	Y	Y	?
Earias vittella	Earias insulana	Laboratory	Y	N	N	N	N
Ostrinia orientalis	Ostrinia nubilalis	Laboratory	?	Y	Y	Y	Y
Heliconius erato	Heliconius himera	Field	Y	Y	Y	Y	Y
Ostrinia furnacalis	Ostrinia nubilalis	Field	Y	Y	Y	Y	Y
Ostrinia furnacalis	Ostrinia scapulalis	Laboratory	Y	Y	Y	Y	Y
Ostrinia nubilalis	Ostrinia scapulalis	Field	Y	Y	Y	Y	Y
Spodoptera exigua	Spodoptera litura	Field	N	?	?	?	?
Heliconius elevatus	Heliconius pardalinus	Field	N	Y	Y	Y	N
Colias eurytheme	Colias philodice	Field	Y	Y	Y	Y	Y
Lycaena salustius	Lycaena feredayi	Field	Y	Y	Y	?	?
Malacosoma americanum	Malacosoma disstria	Laboratory	?	?	N	?	?
Choristoneura fumiferana	Choristoneura occidentalis	Field	Y	Y	Y	?	?
Ostrinia scapulalis	Ostrinia zealis	Laboratory	?	Y	Y	Y	Y
