Male	Female	Sexual	TandemAttempt	Tandem	Mating	Oviposition	Hybrid	RI
Aehsna affinis	Aehsna cyanea	N	N	x	N	N	N	3
Aehsna canadiensis	Aehsna subartica	N	N	x	N	N	N	3
Aehsna subarctica	Aehsna canadiensis	N	N	x	N	N	N	3
Aehsna confusa	Aehsna diffinis	N	N	N	N	N	x	6
Aehsna cyanea	Aehsna juncea	N	N	N	x	N	N	4
Aehsna grandis	Aehsna viridis	N	N	x	N	N	N	3
Aehsna interrupta	Aehsna canadiensis	N	N	N	x	N	N	4
Aehsna juncea	Aehsna mixta	N	N	x	N	N	N	3
Aehsna subarctica	Aehsna juncea	x	x	x	N	N	N	3
Aehsna subarctica	Aehsna mixta	x	N	N	N	N	N	1
Agrion puella	Agrion pulchellum	N	N	N	N	N	x	6
Anax imperator	Anax parthenope	N	N	N	N	N	x	6
Anax junius	Anax strenuus	N	N	x	N	N	N	3
Anax junius	Anax walsinghami	N	N	N	x	N	N	4
Anax nigrofasciatus	Anax julious	 	N	N	N	N	x	6
Anax nigrofasciatus	Anax julios	 	N	N	N	N	x	6
Anax parthenope	Anax nigrofasciatus	N	N	N	N	N	x	6
Argia emma	Argia vivida	N	x	N	N	N	N	2
Argia plana	Argia moesta	N	N	N	N	x	N	5
Argia tibialis	Argia moesta	N	N	x	N	N	N	3
Boyeria grafiama	Boyeria vinosa	N	N	x	N	N	N	3
Calopteryx aequabilis	Calopteryx maculata	N	N	N	N	x	N	5
Calopteryx dimidiata	Calopteryx maculata	N	N	N	x	N	N	4
Calopteryx haemorrhoidalis	Calopteryx splendens	N	N	N	x	N	N	4
Calopteryx orientalis	Calopteryx samarcandica	N	N	N	N	N	x	6
Calopteryx splendens	Calopteryx pulchellum	N	N	N	N	N	x	6
Calopteryx splendens	Calopteryx virgo	N	N	x	N	N	x	6
Calopteryx virgo	Calopteryx splendens	N	N	N	N	N	N	-1
Calopteryx viridis	Calopteryx parvidens	N	N	N	N	N	x	6
Cercion sexlineatum	Cercion plagiosum	N	N	x	N	N	N	3
Coenagrion puella	Coenagrion pulchellum	x	N	N	N	N	x	6
