Brachytrom pratense
Calopteryx orientalis
Calopteryx parvidens
Calopteryx pulchellum
Calopteryx samarcandica
Calopteryx viridis
Cenagrionidae sp.
cercion hieroglyhicum
Cercion plagiosum
Cercion sexlineatum
Cordulia shurtlefii
Diplacodes lefebvrei
Dythemis multipunctata
Dythemis sterilis
Enallagama anna
Enallagama basidensis
Enallagama carunculatum
Enallagama cyathigerum
Enallagma basidensis
Enallagma cynosura
Enallagma dubium
Enallagma pollutum
Enallagma praevare
Enallagma praevarum
Enallagma spinosa
Enallagma sygnatum
Enallagma vernale
Ephiteca bimaculata
Ephiteca canis
Erythorma najas
Gomphurus graslinellus
Gomphurus lividus
Gomphus chichibui
Gomphus crassus
Gomphus exilis
Gomphus externus
Gomphus fraternus
Gomphus graslinellus
Gomphus lividus
Gomphus moiwanus
Gomphus plagiatus
Gomphus sordidus
Gomphus spicatus
Gomphus vastus
Haeterina americana
Ischnura cyane
Ischnura denticolis
Lestes australi
Lestes parvidens
Lestes vigilax
Lestes viridis
Leucorrhinia frequens
Leucorrihinia dubia
Leucorrinia glaciallis
Melagrion eudytum
Melagrion mauka
Melagrion nesiotes
Melagrion oahuense
Melagrion oresitrophum
Melagrion orobates
Melagrion pacificum
Melagrion paludicola
Melagrion vagabundum
Melagrion xanthomelas
Onychogommphus forcipatus
Onychogommphus uncatus
Ophiogomphus occidentalis
Ophiogomphus rupisulensis
Phyrrhosoma nymphula
Pyrrhosoma nynphula
Somatochlora albicinta
Somatochlora sahlbergi
Sympetrum fonscolombei
Sympetrum unifiorme
Telebasis salva
tramea carolina
