../../01_Consensus/results/Diptera/02_Species_Fastas/Aedes_brelandi.fasta:>gi|1318842612|gb|MG242473.1| Ochlerotatus brelandi cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Glyptotendipes_glaucus.fasta:>gi|339645541|gb|JN016846.1| Glyptotendipes glaucus isolate SarSaz cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530624|gb|JX259619.1| Ochlerotatus hendersoni voucher NEONTculicid825 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530622|gb|JX259618.1| Ochlerotatus hendersoni voucher NEONTculicid834 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530620|gb|JX259617.1| Ochlerotatus hendersoni voucher NEONTculicid806 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530618|gb|JX259616.1| Ochlerotatus hendersoni voucher NEONTculicid1866 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530616|gb|JX259615.1| Ochlerotatus hendersoni voucher NEONTculicid818 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|397530614|gb|JX259614.1| Ochlerotatus hendersoni voucher NEONTculicid833 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_hendersoni.fasta:>gi|1318842662|gb|MG242498.1| Ochlerotatus hendersoni cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397339|gb|GU907978.1| Ochlerotatus triseriatus voucher mosqTS68 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397337|gb|GU907977.1| Ochlerotatus triseriatus voucher mosqTS67 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397335|gb|GU907976.1| Ochlerotatus triseriatus voucher mosqTS14 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397333|gb|GU907975.1| Ochlerotatus triseriatus voucher mosq58-9mF4 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397331|gb|GU907974.1| Ochlerotatus triseriatus voucher mosq52-18mF2 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397329|gb|GU907973.1| Ochlerotatus triseriatus voucher mosq184-35 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397327|gb|GU907972.1| Ochlerotatus triseriatus voucher mosq176-16ab cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397325|gb|GU907971.1| Ochlerotatus triseriatus voucher mosq176-12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397323|gb|GU907970.1| Ochlerotatus triseriatus voucher mosq172-64ab cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|292397321|gb|GU907969.1| Ochlerotatus triseriatus voucher mosq172-41ab cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|397739548|gb|JX260473.1| Ochlerotatus triseriatus voucher NEONTculicid2057 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|397530762|gb|JX259688.1| Ochlerotatus triseriatus voucher NEONTculicid2060 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|397530760|gb|JX259687.1| Ochlerotatus triseriatus voucher NEONTculicid1568 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|397530758|gb|JX259686.1| Ochlerotatus triseriatus voucher NEONTculicid2058 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|397530756|gb|JX259685.1| Ochlerotatus triseriatus voucher NEONTculicid2059 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|24430573|gb|AF417730.1| Ochlerotatus triseriatus cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial gene for mitochondrial product
../../01_Consensus/results/Diptera/02_Species_Fastas/Ochlerotatus_triseriatus.fasta:>gi|1318842712|gb|MG242523.1| Ochlerotatus triseriatus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Diptera/02_Species_Fastas/Temnothorax_bernardi.fasta:>gi|1315191528|gb|MF436596.1| Temnothorax bernardi voucher CASENT0732552 cytochrome oxidase subunit I (COI) gene, partial cds; tRNA-Leu (trnL) gene, complete sequence; and cytochrome oxidase subunit II (COII) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1450115778|gb|MH475903.1| Encarsia gennaroi isolate EK2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1450115495|gb|MG263528.1| Encarsia gennaroi cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058022|gb|KT748711.1| Encarsia gennaroi isolate EPCI5 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058020|gb|KT748710.1| Encarsia gennaroi isolate EPCI4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Hymenoptera/02_Species_Fastas/Encarsia_gennaroi.fasta:>gi|1060058018|gb|KT748709.1| Encarsia gennaroi isolate EPCI3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial
