"Order" "Freq" "Data"
"Diptera" "   111" "Species reported to hybridize"
"Hymenoptera" "    71" "Species reported to hybridize"
"Lepidoptera" "   241" "Species reported to hybridize"
"Odonata" "    31" "Species reported to hybridize"
"Orthoptera" "    51" "Species reported to hybridize"
"Diptera" "    69" "Species in reproductive barriers studies"
"Hymenoptera" "    25" "Species in reproductive barriers studies"
"Lepidoptera" "    80" "Species in reproductive barriers studies"
"Odonata" "   226" "Species in reproductive barriers studies"
"Orthoptera" "    33" "Species in reproductive barriers studies"
"Diptera" "174055" "Total number of species"
"Hymenoptera" "150679" "Total number of species"
"Lepidoptera" "184845" "Total number of species"
"Odonata" "  7966" "Total number of species"
"Orthoptera" " 29711" "Total number of species"
