"Order" "Barrier" "Fx"
"Diptera" "Assortative Mating + Mechanical Isolation" "20"
"Diptera" "Gametic or Tactile Barriers" " 8"
"Diptera" "Hybrid Inviability" "10"
"Diptera" "Hybrid Sterility" "12"
"Diptera" "Partial Hybrid Sterility" "14"
"Hymenoptera" "Assortative Mating + Mechanical Isolation" " 3"
"Hymenoptera" "Gametic or Tactile Barriers" " 1"
"Hymenoptera" "Hybrid Inviability" " 2"
"Hymenoptera" "Hybrid Sterility" " 5"
"Lepidoptera" "Assortative Mating + Mechanical Isolation" "11"
"Lepidoptera" "Gametic or Tactile Barriers" "11"
"Lepidoptera" "Hybrid Inviability" "10"
"Lepidoptera" "Hybrid Sterility" "13"
"Lepidoptera" "Partial Hybrid Sterility" "16"
"Odonata" "Assortative Mating + Mechanical Isolation" " 0"
"Odonata" "Gametic or Tactile Barriers" " 0"
"Odonata" "Hybrid Inviability" " 0"
"Orthoptera" "Assortative Mating + Mechanical Isolation" " 0"
"Orthoptera" "Gametic or Tactile Barriers" " 2"
"Orthoptera" "Hybrid Inviability" " 2"
"Orthoptera" "Hybrid Sterility" " 6"
"Orthoptera" "Partial Hybrid Sterility" " 8"
