Order	Suborder	Family	Cross	Condition	Distance
Odonata	Zygoptera	Coenagrionidae	Enallagma_carunculatum_X_Ischnura_cervula	Sympatric	0.130637636080871
Odonata	Zygoptera	Coenagrionidae	Enallagma_cyathigerum_X_Ischnura_denticollis	Sympatric	0.132218844984802
Odonata	Zygoptera	Coenagrionidae	Enallagma_hageni_X_Ischnura_cervula	Sympatric	0.122291021671827
Odonata	Zygoptera	Coenagrionidae	Ischnura_barberi_X_Ischnura_ramburii	Sympatric	0.122916666666667
Odonata	Zygoptera	Coenagrionidae	Ischnura_damula_X_Ischnura_demorsa	Sympatric	0.00415800415800416
Odonata	Zygoptera	Coenagrionidae	Ischnura_demorsa_X_Ischnura_damula	Sympatric	0.00415800415800416
Odonata	Zygoptera	Coenagrionidae	Ischnura_denticollis_X_Ischnura_gemina	Sympatric	0.0388768898488121
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Calopteryx_splendens	Sympatric	0.186031331592689
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Coenagrion_puella	Sympatric	0.143696930111039
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Coenagrion_pulchellum	Sympatric	0.146710526315789
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Enallagma_cyathigerum	Sympatric	0.129980404964076
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Erythromma_lindenii	Sympatric	0.167864141084259
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Erythromma_najas	Sympatric	0.164228723404255
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Ischnura_genei	Sympatric	0.00592592592592593
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Ischnura_graellsii	Sympatric	0.00156985871271586
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Lestes_sponsa	Sympatric	0.182178217821782
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Pyrrhosoma_nymphula	Sympatric	0.153294194390085
Odonata	Zygoptera	Coenagrionidae	Ischnura_elegans_X_Sympecma_fusca	Sympatric	0.196999347684279
Odonata	Zygoptera	Coenagrionidae	Ischnura_erratica_X_Lestes_disjunctus	Sympatric	0.188925081433225
Odonata	Zygoptera	Coenagrionidae	Ischnura_gemina_X_Ischnura_denticollis	Sympatric	0.0388768898488121
Odonata	Zygoptera	Coenagrionidae	Ischnura_genei_X_Ischnura_elegans	Sympatric	0.00592592592592593
Odonata	Zygoptera	Coenagrionidae	Ischnura_genei_X_Ischnura_graellsii	Allopatric	0.00786163522012579
Odonata	Zygoptera	Coenagrionidae	Ischnura_graellsii_X_Ischnura_elegans	Sympatric	0.00156985871271586
Odonata	Zygoptera	Coenagrionidae	Ischnura_graellsii_X_Ischnura_genei	Allopatric	0.00786163522012579
Odonata	Zygoptera	Coenagrionidae	Ischnura_graellsii_X_Ischnura_saharensis	Sympatric	0
Odonata	Zygoptera	Coenagrionidae	Ischnura_pumilio_X_Coenagrion_puella	Sympatric	0.148631029986962
Odonata	Zygoptera	Coenagrionidae	Ischnura_pumilio_X_Enallagma_cyathigerum	Sympatric	0.139281129653402
Odonata	Zygoptera	Coenagrionidae	Ischnura_pumilio_X_Ischnura_elegans	Sympatric	0.12133072407045
Odonata	Zygoptera	Coenagrionidae	Ischnura_pumilio_X_Ischnura_graellsii	Sympatric	0.133437990580848
