Order	Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Orthoptera	Ensifera	Gryllidae	Allonemobius fasciatus	Allonemobius socius	Field	Yes	GREGORY, PG; HOWARD, DJ.	1993	LABORATORY HYBRIDIZATION STUDIES OF ALLONEMOBIUS-FASCIATUS AND A-SOCIUS (ORTHOPTERA, GRYLLIDAE)
Orthoptera	Ensifera	Gryllidae	Allonemobius shalontaki	Allonemobius socius	Laboratory	Yes	Birge, LM; Braswell, WE; Howard, DJ.	2007	A component of isolation between Allonemobius shalontaki (Orthoptera : Gryllidae : Nemobiinae) and a sympatric congener
Orthoptera	Caelifera	Acrididae	Chorthippus albomarginatus	Chorthippus karelini	Field	Yes	Vedenina, VY.	2015	COURTSHIP SONG ANALYSIS IN TWO HYBRID ZONES BETWEEN SIBLING SPECIES OF THE CHORTHIPPUS ALBOMARGINATUS GROUP (ORTHOPTERA, GOMPHOCERINAE)
Orthoptera	Caelifera	Acrididae	Chorthippus albomarginatus	Chorthippus oschei	Field	Yes	Vedenina, V; Holusa, J; Kocarek, P.	2009	THE CHORTHIPPUS ALBOMARGINATUS-GROUP (ORTHOPTERA: ACRIDIDAE: GOMPHOCERINAE) IN THE CARPATHIAN BASIN: TRACES OF HYBRIDIZATION BETWEEN C. ALBOMARGINATUS AND C. OSCHEI IN SOUTHERN SLOVAKIA
Orthoptera	Caelifera	Acrididae	Chorthippus biguttulus	Chorthippus brunneus	Field	Yes	Gottsberger, B; Mayer, F.	2007	Behavioral sterility of hybrid males in acoustically communicating grasshoppers (Acrididae, Gomphocerinae)
Orthoptera	Caelifera	Acrididae	Chorthippus biguttulus	Chorthippus mollis	Laboratory	Yes	Finck, J; Ronacher, B.	2017	Components of reproductive isolation between the closely related grasshopper species Chorthippus biguttulus and C. mollis
Orthoptera	Caelifera	Acrididae	Chorthippus brunneus	Chorthippus jacobsi	Field	Yes	Saldamando, CI; Tatsuta, H; Butlin, RK.	2005	Hybrids between Chorthippus brunneus and C-jacobsi (Orthoptera : Acrididae) do not show endogenous postzygotic isolation
Orthoptera	Caelifera	Acrididae	Chorthippus karelini	Chorthippus oschei	Field	Yes	Vedenina, VY.	2015	COURTSHIP SONG ANALYSIS IN TWO HYBRID ZONES BETWEEN SIBLING SPECIES OF THE CHORTHIPPUS ALBOMARGINATUS GROUP (ORTHOPTERA, GOMPHOCERINAE)
Orthoptera	Caelifera	Acrididae	Chorthippus mollis	Chorthippus biguttulus	Field	Yes	Gottsberger, B; Mayer, F.	2019	Dominance effects strengthen premating hybridization barriers between sympatric species of grasshoppers (Acrididae, Orthoptera)
Orthoptera	Caelifera	Acrididae	Chorthippus mollis	Chorthippus biguttulus	Field	Yes	RAGGE, DR.	1984	THE LE BROC GRASSHOPPER POPULATION - FURTHER EVIDENCE OF ITS HYBRID STATUS (ORTHOPTERA, ACRIDIDAE)
Orthoptera	Caelifera	Acrididae	Chorthippus montanus	Chorthippus parallelus	Field	Yes	Rohde, K; Hau, Y; Weyer, J; Hochkirch, A.	2015	Wide prevalence of hybridization in two sympatric grasshopper species may be shaped by their relative abundances
Orthoptera	Caelifera	Acrididae	Chorthippus parallelus	Chorthippus montanus	Laboratory	Yes	Hochkirch, A; Lemke, I.	2011	Asymmetric mate choice, hybridization, and hybrid fitness in two sympatric grasshopper species
Orthoptera	Ensifera	Prophalangopsidae	Cyphoderris buckelli	Cyphoderris monstrosa	Laboratory	Yes	Dupuis, JR; Judge, KA; Brunet, BMT; Chan, SO; Sperling, FAH.	2020	Does hunger lead to hybridization in a genus of sexually cannibalistic insects (Orthoptera: Prophalangopsidae)?
Orthoptera	Caelifera	Acrididae	Euchorthippus pulvinatus	Euchorthippus chopardi	Laboratory	Yes	SANTOS, JL; ARANA, P; HENRIQUESGIL, N.	1991	CYTOGENETICS OF 2 INTERSPECIFIC SYNTHETIC HYBRIDS OF THE GRASSHOPPER GENUS EUCHORTHIPPUS
Orthoptera	Ensifera	Gryllidae	Gryllus assimilis	Gryllus multipulsator	Laboratory	Yes	Weissman, DB; Walker, TJ; Gray, DA.	2009	The Field Cricket Gryllus assimilis and Two New Sister Species (Orthoptera: Gryllidae)
Orthoptera	Ensifera	Gryllidae	Gryllus bimaculatus	Gryllus campestris	Field	Yes	Veen, T; Faulks, J; Tyler, F; Lloyd, J; Tregenza, T.	2013	Diverse reproductive barriers in hybridising crickets suggests extensive variation in the evolution and maintenance of isolation
Orthoptera	Ensifera	Gryllidae	Gryllus firmus	Gryllus pennsylvanicus	Field	Yes	DOHERTY, JA; STORZ, MM.	1992	CALLING SONG AND SELECTIVE PHONOTAXIS IN THE FIELD CRICKETS, GRYLLUS-FIRMUS AND G-PENNSYLVANICUS (ORTHOPTERA, GRYLLIDAE)
Orthoptera	Ensifera	Gryllidae	Gryllus fultoni	Gryllus cayensis	Laboratory	Yes	Walker, TJ.	2001	Gryllus cayensis n. sp (Orthoptera : Gryllidae), a taciturn wood cricket extirpated from the Florida Keys: Songs, ecology and hybrids
Orthoptera	Ensifera	Gryllidae	Gryllus rubens	Gryllus texensis	Field	Yes	Walker, TJ.	2000	Pulse rates in the songs of trilling field crickets (Orthoptera : Gryllidae : Gryllus)
Orthoptera	Ensifera	Anostostomatidae	Hemideina ricta	Hemideina femorata	Field	Yes	MorganRichards, M; Townsend, JA.	1995	Hybridisation of tree weta on Banks Peninsula, New Zealand, and colour polymorphism within Hemideina ricta (Orthoptera: Stenopelmatidae)
Orthoptera	Ensifera	Anostostomatidae	Hemideina thoracica	Hemideina trewicki	Field	Yes	Mckean, NE; Trewick, SA; Morgan-Richards, M.	2016	Little or no gene flow despite F-1 hybrids at two interspecific contact zones
Orthoptera	Ensifera	Anostostomatidae	Hemideina thoracica	Hemideina crassidens	Field	Yes	Mckean, NE; Trewick, SA; Morgan-Richards, M.	2016	Little or no gene flow despite F-1 hybrids at two interspecific contact zones
Orthoptera	Ensifera	Tettigoniidae	Hexacentrus japonicus	Hexacentrus unicolor	Field	Yes	INAGAKI, H; SUGIMOTO, T.	1994	INTERSPECIFIC MICRODIVERGENCY IN MALE GENITALIA BETWEEN 2 SIBLING SPECIES OF THE BUSH-CRICKET GENUS HEXACENTRUS (ORTHOPTERA, TETTIGONIIDAE)
Orthoptera	Caelifera	Acrididae	Melanoplus sanguinipes	Melanoplus devastator	Field	Yes	Orr, MR.	1996	Life-history adaptation and reproductive isolation in a grasshopper hybrid zone
Orthoptera	Ensifera	Tettigoniidae	Orchelimum nigripes	Orchelimum pulchellum	Field	Yes	Shapiro, LH.	1998	Hybridization and geographic variation in two meadow katydid contact zones
Orthoptera	Caelifera	Acrididae	Phaulacridium marginale	Phaulacridium otagoense	Field	No	Sivyer, L; Morgan-Richards, M; Koot, E; Trewick, SA.	2018	Anthropogenic cause of range shifts and gene flow between two grasshopper species revealed by environmental modelling, geometric morphometrics and population genetics
Orthoptera	Ensifera	Tettigoniidae	Saga campbelli	Saga hellenica	Laboratory	Yes	Lemonnier-Darcemont, M; Dutrillaux, AM; Dutrillaux, B; Darcemont, C.	2011	Hybridation between Saga campbelli Kaltenbach 1965 and Saga hellenica Kaltenbach 1967 (Orthoptera: Tettigoniidae).
Orthoptera	Ensifera	Tettigoniidae	Saga pedo	Saga rammei	Laboratory	Yes	Lemonnier-Darcemont, M; Darcemont, C.	2007	Hybridization between Saga pedo (Pallas 1771) and Saga rammei Kaltenbach 1965 (Orthoptera : Tettigoniidae)
Orthoptera	Caelifera	Acrididae	Stenobothrus clavatus	Stenobothrus rubicundus	Field	Yes	Vedenina, V; Fahsing, S; Sradnick, J; Klopfel, A; Elsner, N.	2013	A narrow hybrid zone between the grasshoppers Stenobothrus clavatus and Stenobothrus rubicundus (Orthoptera: Gomphocerinae): female preferences for courtship songs
Orthoptera	Ensifera	Gryllidae	Teleogryllus oceanicus	Teleogryllus commodus	Laboratory	Yes	Bailey, NW; Moran, PA; Hennig, RM.	2017	Divergent mechanisms of acoustic mate recognition between closely related field cricket species (Teleogryllus spp.)
