Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Chironomus riparius	Chironomus piger	Field	Yes	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M.	2019	An experimental assessment of reproductive isolation and its consequences for seasonal hybridization dynamics
Lucilia sericata	Lucilia cuprina	Field	Yes	Williams, K; Villet, MH.	2013	Ancient and modern hybridization between Lucilia sericata and L. cuprina (Diptera: Calliphoridae)
Glyptotendipes glaucus	Glyptotendipes pallens	Field	Yes	Michailova, PV.	1996	Cytotaxonomy of Chironomidae (Diptera) from Lake Shabla (Bulgaria): Cytogenetic evidence for introgressive hybridization
Anastrepha fraterculus	Anastrepha sororcula	Laboratory	Yes	dos Santos, P; Uramoto, K; Matioli, SR.	2001	Experimental hybridization among Anastrepha species (Diptera : Tephritidae): Production and morphological characterization of F-1 hybrids
Anastrepha obliqua	Anastrepha sororcula	Laboratory	Yes	dos Santos, P; Uramoto, K; Matioli, SR.	2001	Experimental hybridization among Anastrepha species (Diptera : Tephritidae): Production and morphological characterization of F-1 hybrids
Anastrepha fraterculus	Anastrepha obliqua	Field	Yes	Rull, J; Tadeo, E; Lasa, R; Rodriguez, CL; Altuzar-Molina, A; Aluja, M.	2018	Experimental hybridization and reproductive isolation between two sympatric species of tephritid fruit flies in the Anastrepha fraterculus species group
Rhagoletis mendax	Rhagoletis zephyria	Field	Yes	Schwarz, D; McPheron, BA.	2007	When ecological isolation breaks down: sexual isolation is an incomplete barrier to hybridization between Rhagoletis species
Liriomyza sativae	Liriomyza trifolii	Laboratory	Yes	Tokumaru, S; Abe, Y.	2005	Interspecific hybridization between Liriomyza sativae Blanchard and L. trifolii (Burgess) (Diptera : Agromyzidae)
Glossina swynnertoni	Glossina morsitans	Laboratory	Yes	Gooding, RH.	1997	Genetics of hybridization of Glossina swynnertoni with Glossina morsitans morsitans and Glossina morsitans centralis
Rhagoletis cerasi	Rhagoletis cingulata	Field	Yes	Johannesen, J; Keyghobadi, N; Schuler, H; Stauffer, C; Vogt, H.	2013	Invasion genetics of American cherry fruit fly in Europe and signals of hybridization with the European cherry fruit fly
Simulium damnosum	Simulium sirbanum	Field	Yes	Boakye, DA; Back, C; Brakefield, PM.	2000	Evidence of multiple mating and hybridization in Simulium damnosum s.l. (Diptera : Simuliidae) in nature
Rhagoletis pomonella	Rhagoletis zephyria	Field	Yes	Yee, WL; Chapman, PS; Sheets, HD.	2013	Comparative Body Size and Shape Analyses of F-1 Hybrid Rhagoletis pomonella and Rhagoletis zephyria (Diptera: Tephritidae)
Bactrocera tryoni	Bactrocera neohumeralis	Field	Yes	Pike, N; Wang, WYS; Meats, A.	2003	The likely fate of hybrids of Bactrocera tryoni and Bactrocera neohumeralis
Anopheles sinensis	Anopheles kleini	Field	Yes	Choochote, W; Min, GS; Intapan, PM; Tantrawatpan, C; Saeung, A; Lulitanond, V.	2014	Evidence to support natural hybridization between Anopheles sinensis and Anopheles kleini (Diptera: Culicidae): possibly a significant mechanism for gene introgression in sympatric populations
Drosophila buzzatii	Drosophila koepferae	Laboratory	Yes	Soto, EM; Soto, IM; Carreira, VP; Fanara, JJ; Hasson, E.	2008	Host-related life history traits in interspecific hybrids of cactophilic Drosophila
Glyptotendipes pallens	Glyptotendipes glaucus	Field	Yes	Michailova, P; Warchalowska-Sliwa, E; Kownacki, A.	2001	Cytotaxonomic characteristics of the genus Glyptotendipes Kieffer (Chironomidae, Diptera) from fish and retention ponds (Silesia, southern Poland)
Anopheles gambiae	Anopheles quadriannulatus	Laboratory	Yes	Pates, HV; Curtis, CF; Takken, W.	2014	Hybridization studies to modify the host preference of Anopheles gambiae
Simulium flexibranchium	Simulium petricolum	Field	Yes	Adler, PH; Seitz, G.	2020	CHROMOSOMAL RELATIONSHIPS OF BLACK FLIES (DIPTERA: SIMULIIDAE) IN THE SIMULIUM AUREUM FRIES SPECIES GROUP ON THE GREEK ISLAND OF RHODES
Drosophila montana	Drosophila lacicola	Field	Yes	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV.	2019	Comparative Analysis of Variation of the BOLD Fragment of Mitochondrial cox1 Gene and Y Chromosome kl-2 1-beta dynein heavy chain Gene in Drosophilavirilis Species Group (Diptera: Drosophilidae)
