Sp1	Sp2	Authors	Condition	Year	MainTopic	Article
Formica aquilonia 	Formica polyctena	Beresford, J; Elias, M; Pluckrose, L; Sundstrom, L; Butlin, RK; Pamilo, P; Kulmuni, J.	Field	2017	Yes	Widespread hybridization within mound-building wood ants in Southern Finland results in cytonuclear mismatches and potential for sex-specific hybrid breakdown
Torymus sinensis	Torymus beneficus	Yara, K; Yano, E; Sasawaki, T; Shiga, M. 	FIeld	2000	Yes	Detection of hybrids between introduced Torymus sinensis and native T-beneficus (Hymenoptera : Torymidae) in central Japan, using malic enzyme
Messor minor	Messor wasmanni	Steiner, FM; Seifert, B; Grasso, DA; Le Moli, F; Arthofer, W; Stauffer, C; Crozier, RH; Schlick-Steiner, BC.	Field	2011	Yes	Mixed colonies and hybridisation of Messor harvester ant species (Hymenoptera: Formicidae)
Acanthomyops latipes	Acanthomyops claviger	Umphrey, GJ; Danzmann, RG.	Field	1998	Yes	Electrophoretic evidence for hybridization in the ant genus Acanthomyops (Hymenoptera : Formicidae)
Camponotus herculeanus	Camponotus ligniperda	Seifert, B.	Field	2019	Yes	Hybridization in the European carpenter ants Camponotus herculeanus and C. ligniperda (Hymenoptera: Formicidae)
Myrmica scabrinodis 	Myrmica vandeli	Yazdi, AB; Munch, W; Seifert, B.	Field	2012	Yes	A first demonstration of interspecific hybridization in Myrmica ants by geometric morphometrics (Hymenoptera: Formicidae)
Pogonomyrmex occidentalis	 Pogonomyrmex maricopa 	Anderson, KE; Novak, SJ; Smith, JF. 	Field	2008	Yes	Populations composed entirely of hybrid colonies: bidirectional hybridization and polyandry in harvester ants
Tetramorium immigrans	Tetramorium caespitum	Cordonnier, M; Escarguel, G; Dumet, A; Kaufmann, B.	Field	2020	Yes	Multiple mating in the context of interspecific hybridization between two Tetramorium ant species
Lasius niger	Lasius psammophilus 	van der Have, TM; Pedersen, JS; Boomsma, JJ. 	Field	2011	Yes	Mating, hybridisation and introgression in Lasius ants (Hymenoptera: Formicidae)
Diadegma semiclausum	Diadegma fenestrale 	Davies, AP; Takashino, K; Watanabe, M; Miura, K. 	Laboratory	2009	Yes	Parental genetic traits in offspring from inter-specific crosses between introduced and indigenous Diadegma Foerster(Hymenoptera: Ichneumonidae): Possible effects on conservation genetics
