Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
"""Other"""	Andrenidae	Andrena scurra	Andrena ellisiae	Field	Yes	"LANHAM, UN."	1984	"THE HYBRID SWARM OF ANDRENA (HYMENOPTERA, APOIDEA) IN WESTERN NORTH-AMERICA - A POSSIBLE SOURCE FOR THE EVOLUTIONARY ORIGIN OF A NEW SPECIES"
"""Other"""	Braconidae	Aphidius ervi	Aphidius microlophii	Laboratory	Yes	"PENNACCHIO, F; DIGILIO, MC; TREMBLAY, E; TRANFAGLIA, A."	1994	"HOST RECOGNITION AND ACCEPTANCE BEHAVIOR IN 2 APHID PARASITOID SPECIES - APHIDIUS-ERVI AND APHIDIUS-MICROLOPHII (HYMENOPTERA, BRACONIDAE)"
"""Other"""	Apidae	Apis cerana	Apis mellifera	Laboratory	Yes	"Gloag, R; Tan, K; Wang, Y; Song, W; Luo, W; Buchman, G; Beekman, M; Oldroyd, BP."	2017	No evidence of queen thelytoky following interspecific crosses of the honey bees Apis cerana and Apis mellifera
"""Ant"""	Formicidae	Camponotus herculeanus	Camponotus ligniperda	Field	Yes	"Seifert, B."	2019	Hybridization in the European carpenter ants Camponotus herculeanus and C. ligniperda (Hymenoptera: Formicidae)
"""Other"""	Braconidae	Cotesia chilonis	Cotesia sesamiae	Laboratory	Yes	"KIMANI, SW; OVERHOLT, WA."	1995	"BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES "
"""Other"""	Braconidae	Cotesia flavipes	Cotesia chilonis	Laboratory	Yes	"KIMANI, SW; OVERHOLT, WA."	1995	"BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES "
"""Other"""	Braconidae	Cotesia flavipes	Cotesia sesamie	Laboratory	Yes	"KIMANI, SW; OVERHOLT, WA."	1995	"BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES "
"""Other"""	Ichneumonidae	Diadegma semiclausum	Diadegma fenestrale 	Laboratory	Yes	"Davies, AP; Takashino, K; Watanabe, M; Miura, K. "	2009	Parental genetic traits in offspring from inter-specific crosses between introduced and indigenous Diadegma Foerster(Hymenoptera: Ichneumonidae): Possible effects on conservation genetics
"""Other"""	Aphelinidae	Encarsia suzannae	Encarsia gennaroi	Laboratory	Yes	"Gebiola, M; Kelly, SE; Hammerstein, P; Giorgini, M; Hunter, MS."	2016	Darwin's corollary and cytoplasmic incompatibility induced by Cardinium may contribute to speciation in Encarsia wasps (Hymenoptera: Aphelinidae)
"""Ant"""	Formicidae	Formica aquilonia 	Formica lugubris	Field	Yes	"Seifert, B."	2021	A taxonomic revision of the Palaearctic members of the Formica rufa group (Hymenoptera: Formicidae) - the famous mound-building red wood ants
