Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Phyciodes cocyta	Phyciodes tharos	Laboratory	Yes	OLIVER, CG.	1980	PHENOTYPIC DIFFERENTIATION AND HYBRID BREAKDOWN WITHIN PHYCIODES-THAROS (LEPIDOPTERA, NYMPHALIDAE) IN THE NORTHEASTERN UNITED STATES
Heliothis subflexa	Heliothis virescens	Laboratory	Yes	GOODPASTURE, C; LACHANCE, LE; RICHARD, RD.	1980	PERSISTENCE OF ABNORMAL SPERMIOGENESIS IN THE BACKCROSS GENERATIONS OF INTERSPECIFIC HYBRIDS BETWEEN HELIOTHIS-VIRESCENS X HELIOTHISSUBFLEXA (LEPIDOPTERA, NOCTUIDAE)
Hyalophora cecropia	Hyalophora columbia	Field	Yes	FERGE, LA.	1983	DISTRIBUTION AND HYBRIDIZATION OF HYALOPHORA-COLUMBIA (LEPIDOPTERA, SATURNIIDAE) IN WISCONSIN
Euxoa declarata	Euxoa rockburnei	Laboratory	Yes	TEAL, PEA.	1985	THE EFFECT OF HYBRIDIZATION ON THE PERIODICITY OF SEX-PHEROMONE RELEASE OF EUXOA SPECIES (LEPIDOPTERA, NOCTUIDAE)
Choristoneura occidentalis	Choristoneura retiniana	Laboratory	Yes	VOLNEY, WJA; LIEBHOLD, AM.	1985	POSTDIAPAUSE DEVELOPMENT OF SYMPATRIC CHORISTONEURA-OCCIDENTALIS AND CHORISTONEURA-RETINIANA (LEPIDOPTERA, TORTRICIDAE) AND THEIR HYBRIDS
Parnassius apollo	Parnassius phoebus	Field	Yes	DESCIMON, H; GEIGER, H.	1988	ELECTROPHORETIC DETECTION OF INTERSPECIFIC HYBRIDS IN PARNASSIUS (LEPIDOPTERA, PAPILIONIDAE)
Antheraea pernyi	Antheraea yamamai	Laboratory	Yes	SHIMADA, T; YAMAUCHI, H; KOBAYASHI, M.	1988	DIAPAUSE OF THE INTER-SPECIFIC F1 HYBRIDS BETWEEN ANTHERAEA-YAMAMAI (GUERIN-MENEVILLE) AND ANTHERAEA-PERNYI (G-M) (LEPIDOPTERA, SATURNIIDAE)
Tatochila mercedis	Tatochila sterodice	Field	Yes	PORTER, AH; SHAPIRO, AM.	1990	LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE
Tatochila mercedis	Tatochila vanvolxemii	Field	Yes	PORTER, AH; SHAPIRO, AM.	1990	LOCK-AND-KEY HYPOTHESIS - LACK OF MECHANICAL ISOLATION IN A BUTTERFLY (LEPIDOPTERA, PIERIDAE) HYBRID ZONE
Papilio dardanus	Papilio phorcas	Field	Yes	VANEWRIGHT, RI; SMITH, CR.	1992	OCCURRENCE AND SIGNIFICANCE OF NATURAL HYBRIDS BETWEEN PAPILIO-DARDANUS AND P-PHORCAS (LEPIDOPTERA, PAPILIONIDAE)
Hydraecia immanis	Hydraecia micacea	Field	Yes	SCRIBER, JM; BOSSART, JL; SNIDER, D.	1992	DIAGNOSTIC ALLELES FROM ELECTROPHORESIS DISTINGUISH 2 NOCTUID PEST SPECIES, HYDRAECIA-IMMANIS AND H-MICACEA (LEPIDOPTERA, NOCTUIDAE)
Heliconius cydno	Heliconius melpomene	Field	Yes	BROWN, KS; EMMEL, TC; ELIAZAR, PJ; SUOMALAINEN, E.	1992	EVOLUTIONARY PATTERNS IN CHROMOSOME-NUMBERS IN NEOTROPICAL LEPIDOPTERA .1. CHROMOSOMES OF THE HELICONIINI (FAMILY NYMPHALIDAE, SUBFAMILY NYMPHALINAE)
Operophtera bruceata	Operophtera brumata	Field	Yes	TROUBRIDGE, JT; FITZPATRICK, SM.	1993	A REVISION OF THE NORTH-AMERICAN OPEROPHTERA (LEPIDOPTERA, GEOMETRIDAE)
Colias interior	Colias philodice	Laboratory	Yes	KAROWE, DN.	1994	DIAPAUSE DYNAMICS AMD HOST-PLANT UTILIZATION OF COLIAS-PHILODICE, COLIAS-INTERIOR AND THEIR HYBRIDS (LEPIDOPTERA, PIERIDAE)
Limenitis archippus	Limenitis arthemis	Field	Yes	PLATT, AP; HARRISON, SJ.	1994	1ST RECORD OF AN HETEROTIC, ADULT FEMALE HYBRID LIMENITIS (BASILARCHIA) RUBIDUS (LEPIDOPTERA, NYMPHALIDAE)
Helicoverpa armigera	Helicoverpa zea	Laboratory	Yes	LASTER, ML; SHENG, CF.	1995	SEARCH FOR HYBRID STERILITY FOR HELICOVERPA-ZEA IN CROSSES BETWEEN THE NORTH-AMERICAN HELIOTHIS-ZEA AND HELICOVERPA-ARMIGERA (LEPIDOPTERA, NOCTUIDAE) FROM CHINA
Heliconius erato	Heliconius himera	Field	Yes	Jiggins, CD; McMillan, WO; Neukirchen, W; Mallet, J.	1996	What can hybrid zones tell us about speciation? The case of Heliconius erato and H-himera (Lepidoptera: Nymphalidae)
Papilio canadensis	Papilio glaucus	Field	Yes	Scriber, JM; Hagen, RH; Lederhouse, RC.	1996	Genetics of mimicry in the tiger swallowtail butterflies, Papilio glaucus and P-canadensis (lepidoptera: Papilionidae)
Heliconius heurippa	Heliconius tristero	Field	Yes	Brower, AVZ.	1996	A new mimetic species of Heliconius (Lepidoptera:Nymphalidae), from southeastern Colombia, revealed by cladistic analysis of mitochondrial DNA sequences
