Sp1	Sp2	Authors	Condition	Year	MainTopic	Article
Allonemobius shalontaki	Allonemobius socius	Birge, LM; Braswell, WE; Howard, DJ.	Laboratory	2007	Yes	A component of isolation between Allonemobius shalontaki (Orthoptera : Gryllidae : Nemobiinae) and a sympatric congener
Saga pedo	Saga rammei	Lemonnier-Darcemont, M; Darcemont, C.	Laboratory	2007	Yes	Hybridization between Saga pedo (Pallas 1771) and Saga rammei Kaltenbach 1965 (Orthoptera : Tettigoniidae)
Orchelimum nigripes	Orchelimum pulchellum	Shapiro, LH.	Field	1998	Yes	Hybridization and geographic variation in two meadow katydid contact zones
Allonemobius fasciatus	Allonemobius socius	GREGORY, PG; HOWARD, DJ.	Field	1993	Yes	LABORATORY HYBRIDIZATION STUDIES OF ALLONEMOBIUS-FASCIATUS AND A-SOCIUS (ORTHOPTERA, GRYLLIDAE)
Hemideina ricta	Hemideina femorata	MorganRichards, M; Townsend, JA.	Field	1995	Yes	Hybridisation of tree weta on Banks Peninsula, New Zealand, and colour polymorphism within Hemideina ricta (Orthoptera: Stenopelmatidae)
Chorthippus biguttulus	Chorthippus brunneus	Gottsberger, B; Mayer, F.	Field	2007	Yes	Behavioral sterility of hybrid males in acoustically communicating grasshoppers (Acrididae, Gomphocerinae)
Chorthippus mollis	Chorthippus biguttulus	Gottsberger, B; Mayer, F.	Field	2019	Yes	Dominance effects strengthen premating hybridization barriers between sympatric species of grasshoppers (Acrididae, Orthoptera)
Saga campbelli	Saga hellenica	Lemonnier-Darcemont, M; Dutrillaux, AM; Dutrillaux, B; Darcemont, C.	Laboratory	2011	Yes	Hybridation between Saga campbelli Kaltenbach 1965 and Saga hellenica Kaltenbach 1967 (Orthoptera: Tettigoniidae).
Chorthippus parallelus	Chorthippus montanus	Hochkirch, A; Lemke, I.	Laboratory	2011	Yes	Asymmetric mate choice, hybridization, and hybrid fitness in two sympatric grasshopper species
Gryllus firmus	Gryllus pennsylvanicus	DOHERTY, JA; STORZ, MM.	Field	1992	Yes	CALLING SONG AND SELECTIVE PHONOTAXIS IN THE FIELD CRICKETS, GRYLLUS-FIRMUS AND G-PENNSYLVANICUS (ORTHOPTERA, GRYLLIDAE)
