Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids
Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	Laboratory	?	Y	Y	?	?
Evandromyia carmelinoi	Evandromyia lenti	Laboratory	?	Y	Y	Y	Y
Phlebotomus papatasi	Phlebotomus duboscqi	Laboratory	?	Y	Y	N	N
Phlebotomus papatasi	Phlebotomus bergeroti	Laboratory	?	Y	Y	Y	N
Themira lohmanus	Themira biloba	Laboratory	Y	Y	N	N	N
Anopheles albitarsis	Anopheles deaneorum	Laboratory	?	Y	Y	Y	Y
Drosophila testacea	Drosophila orientacea	Laboratory	Y	Y	Y	Y	Y
Drosophila neotestacea	Drosophila orientacea	Laboratory	Y	Y	N	N	N
Drosophila testacea	Drosophila neotestacea	Laboratory	Y	Y	N	N	N
Drosophila silvestris	Drosophila heteroneura	Laboratory	Y	Y	Y	Y	Y
Drosophila denruoi	Drosophila tsigana	Laboratory	?	Y	N	N	N
Anastrepha bistrigata	Anastrepha striata	Laboratory	?	N	N	N	N
Rhagoletis cingulata	Rhagoletis indifferens	Laboratory	?	Y	?	?	?
Sepsis pyrrhosoma	Sepsis flavimana	Laboratory	N	Y	Y	N	N
Sepsis neocynipsea	Sepsis cynipsea	Laboratory	Y	Y	Y	Y	N
Bactrocera tryoni	Bactrocera neohumeralis	Laboratory	Y	Y	Y	Y	Y
Urophora affinis	Urophora quadrifasciata	Laboratory	N	N	N	N	N
Rhagoletis conversa	Rhagoletis brncici	Laboratory	N	N	N	N	N
Drosophila lini	Drosophila ogumai	Laboratory	Y	Y	Y	Y	N
Drosophila lini	Drosophila ogumai	Laboratory	Y	Y	Y	Y	N
Drosophila ogumai	Drosophila ohnishii	Laboratory	Y	Y	Y	Y	N
Chironomus riparius	Chironomus piger	Laboratory	Y	Y	Y	Y	Y
Anastrepha fraterculus	Anastrepha obliqua	Laboratory	Y	Y	Y	?	?
Rhagoletis indifferens	Rhagoletis suavis	Laboratory	N	?	?	?	?
Rhagoletis berberis	Rhagoletis suavis	Laboratory	N	?	?	?	?
Rhagoletis indifferens	Rhagoletis pomonella	Laboratory	N	?	?	?	?
Rhagoletis pomonella	Rhagoletis suavis	Laboratory	N	?	?	?	?
Zonosemata electa	Rhagoletis pomonella	Laboratory	N	?	?	?	?
Rhagoletis pomonella	Rhagoletis basiola	Laboratory	N	?	?	?	?
Rhagoletis indifferens	Rhagoletis basiola	Laboratory	N	?	?	?	?
Rhagoletis indifferens	Rhagoletis cingulata	Laboratory	Y	?	?	?	?
Rhagoletis mendax	Rhagoletis zephyria	Laboratory	Y	Y	Y	Y	Y
Telostylinus lineolatus	Telostylinus angusticollis	Laboratory	Y	Y	N	N	N
Anopheles sinensis	Anopheles pullus	Laboratory	?	Y	Y	N	N
Drosophila virilis	Drosophila novamexicana	Laboratory	?	Y	Y	Y	?
Drosophila virilis	Drosophila americana	Laboratory	?	Y	Y	Y	?
Drosophila novamexicana	Drosophila americana	Laboratory	?	Y	?	?	?
Anopheles gambiae	Anopheles coluzzii	Field	Y	Y	Y	Y	Y
Rhagoletis completa	Rhagoletis zoqui	Laboratory	Y	Y	Y	Y	Y
Aedes aegypti	Aedes albopictu	Laboratory	N	Y	N	N	N
Drosophila parapallidosa	Drosophila pallidosa	Laboratory	?	Y	Y	Y	Y
Drosophila parapallidosa	Drosophila ananassae	Laboratory	?	Y	Y	Y	Y
Drosophila ananassae	Drosophila pallidosa	Laboratory	?	Y	Y	Y	Y
Liriomyza trifolii	Liriomyza sativae	Laboratory	?	Y	Y	N	N
Drosophila nepalensis	Drosophila trilutea	Laboratory	?	Y	Y	Y	N
Anopheles merus	Anopheles coluzzii	Laboratory	?	Y	Y	Y	N
Anopheles merus	Anopheles gambiae	Laboratory	?	Y	Y	Y	N
Drosophila mojavensis	Drosophila arizonae	Laboratory	?	N	N	N	N
