Table	Genera	Species (male)	Species (female)	Sexual interaction	Attempt to tandem	Tandem	Mating	Oviposition	Hybrid-field	Hybrid-lab
S1	Aeshna	affinis	cyanea			x				
S1	Aeshna	canadensis	subarctica			x				
S1	Aeshna	subarctica	canadensis			x				
S1	Aeshna	confusa 	diffinis						x	
S1	Aeshna	cyanea	juncea				x			
S1	Aeshna	grandis	viridis			x				
S1	Aeshna	interrupta	canadensis				x			
S1	Aeshna	juncea	mixta			x				
S1	Aeshna	subarctica	juncea	x	x	x				
S1	Aeshna	subarctica	mixta	x						
S1	Coenagrion  	puella 	pulchellum 						x	
S1	Anax 	imperator 	parthenope						x	
S1	Anax 	junius	strenuus			x				
S1	Anax 	junius	walsinghami				x			
S1	Anax 	nigrofasciatus 	parthenope	 					x	
S1	Anax 	nigrofasciatus nigrofasciatus	parthenope	 					x	
S1	Anax 	parthenope	nigrofasciatus						x	
S1	Argia	emma	vivida		x					
S1	Argia	plana	moesta					x		
S1	Argia	tibialis	moesta			x				
S1	Boyeria	grafiana	vinosa			x				
S1	Calopteryx	aequabilis	maculata					x		
S1	Calopteryx	dimidiata	maculata				x			
S1	Calopteryx	haemorrhoidalis	splendens				x			
S1	Calopteryx	orientalis	samarcandica						x	
S1	Coenagrion  	splendens	pulchellum						x	
S1	Calopteryx	splendens	virgo			x			x	
S1	Calopteryx	virgo	splendens							
S1	Coenagrion	viridis	parvidens						x	
S1	Paracercion	melanotum	plagiosum			x				
S1	Coenagrion	puella	pulchellum	x					x	
S1	Coenagrion	pulchellum 	puella						x	
S1	Cordulegaster	bilineata	diastatops						x	
S1	Dythemis 	multipunctata	sterilis						x	
S1	Dythemis 	multipunctata kirby	sterilis						x	
S1	Enallagma	anna	civile						x	
S1	Enallagma	anna	carunculatum						x	
S1	Enallagma	aspersum	geminatum			x				
S1	Enallagma	aspersum	civile			x				
S1	Enallagma	civile	aspersum	x		x				
S1	Enallagma	boreale	carunculatum			x				
S1	Enallagma	carunculatum	boreale			x				
S1	Enallagma	boreale	cyathigerum			x				
S1	Enallagma	cyathigerum 	boreale			x				
S1	Enallagma	carunculatum	civile						x	
S1	Enallagma	civile 	carunculatum			x			x	
S1	Enallagma	carunculatum	basidens			x				
S1	Enallagma	cyathigerum 	praevarum		x					
S1	Enallagma	cyathigerum 	vernale						x	
S1	Epitheca	cynosura	spinosa						x	
S1	Enallagma	ebrium	hageni						x	
S1	Enallagma	ebrium	boreale			x				
S1	Enallagma	pollutum	dubium			x				
S1	Enallagma	pollutum	signatum			x				
S1	Enallagma	signatum	pollutum			x				
S1	Enallagma	praevarum	cyathigerum			x				
S1	Epitheca	spinigera	cynosura			x				
S1	Gomphurus	externus	fraternus						x	
S1	Phanogomphus	graslinellus	lividus						x	
S1	Gomphus	 fraternus 	externus						x	
S1	Phanogomphus	exilis	spicatus			x				
S1	Gomphus	simillimus	vulgatissimus				x			
