Group	Order	Sp1	Sp2	Origonal Consequence	Unified Consequence	Include
General	Odonata	Anax imperator 	A. partenophe	Hybridization	Hybridization	N
General	Odonata	Calopteryx splendens 	C. virgo	Unidirectional introgression	Introgression	Y
General	Odonata	Calopteryx splendens	C. haemorroidalis	Bidirectional introgression	Introgression	Y
General	Odonata	Cordulegaster trinacriae	C. boltonii	"Unidirectional introgression,"	Introgression	Y
General	Odonata	Cordulegaster trinacriae	C. boltonii	Reinforcement	Reinforcement	Y
General	Odonata	Ischnura elegans	I. graellsii	"Bidirectional introgression,"	Introgression	Y
General	Odonata	Ischnura elegans	I. graellsii	"Local extinction,"	Local Extinction	Y
General	Odonata	Ischnura elegans	I. graellsii	Reinforcement	Reinforcement	Y
General	Odonata	Ischnura elegans 	I. genei	Introgression	Introgression	Y
General	Odonata	Ischnura senegalensis 	I. elegans	Hybridization in laboratory	Hybridization	N
General	Odonata	Mnais costalis	M. pruinosa	"Introgression,"	Introgression	Y
General	Odonata	Mnais costalis	M. pruinosa	Reinforcement	Reinforcement	Y
General	Odonata	Calopteryx splendens 	C. xanthostoma	Hybridization or recent divergence?	Hybridization	N
General	Odonata	Chalcolestes parvidens	C. virens	Hybridization or recent divergence?	Hybridization	N
General	Odonata	Coenagrion puella	C. pulchellum	Introgression or recent divergence?	Introgression	Y
General	Odonata	Coenagrion puella	C. ornatum	Introgression or recent divergence?	Introgression	Y
General	Odonata	C. pulchellum	C. ornatum	Introgression or recent divergence?	Introgression	Y
General	Odonata	Somatochlora meridionalis 	S. metallica	Hybridization?	Hybridization	N
General	Odonata	Gomphus schneiderii	Gomphus vulgatissimus	Predicted hybridization	Hybridization	N
General	Lepidoptera	Pseudophilotes baton	Pseudophilotes vicrama	Hibridacion introgresiva (wolbacha)	Introgression	Y
General	Lepidoptera	Melitaea acentria	Melitaea acentria	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Ahlbergia frivaldszkyi	Callophrys rubi	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Thaumetopoea pityocampa	Thaumetopoea wilkinsoni	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Iphiclides feisthamelii	Iphiclides podalirius	Hibridacion introgresiva (wolbacha)	Introgression	Y
General	Lepidoptera	Udea alpinalis	Udea uliginosalis	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Ostrinia furnacalis	Ostrinia nubilalis	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Coenonympha arcania	Coenonympha gardetta	Especiacion	Hybrid Speciation	Y
General	Lepidoptera	Ostrinia furnacalis	Ostrinia scapulalis	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Aricia agestis	Aricia artaxerxes	Hibridacion introgresiva	Introgression	Y
General	Lepidoptera	Aricia agestis	Aricia artaxerxes	cambio de distribucion	Distribution Change	N
