PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	LEONG, JM; HAFERNIK, JE				LEONG, JM; HAFERNIK, JE			HYBRIDIZATION BETWEEN 2 DAMSELFLY SPECIES (ODONATA, COENAGRIONIDAE) - MORPHOMETRIC AND GENITALIC DIFFERENTIATION	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA			English	Article						ODONATA; ISCHNURA; HYBRIDIZATION	MECHANICAL ISOLATION; KEY HYPOTHESIS; HYBRID ZONES; EVOLUTIONARY; DROSOPHILA	In allopatry and in a hybrid zone, we analyzed the relationship between morphometric characters and the inferior abdominal appendage angle in two damselflies, Ischnura gemina (Kennedy) and Ischnura denticollis (Burmeister), to assess the taxonomic reliability and genetic basis of this genitalic trait. Changes in the morphometric-genitalic relationship in the hybrid zone strongly imply that introgression has occurred, although there is some evidence of hybrid unfitness and partial reproductive isolation. We conclude that the inferior appendage trait is not taxonomically reliable because it fails to convey the recombinant nature of individuals in the hybrid zone. A combination of field and lab data suggest that the genitalic angle trait is polygenic but controlled by only a few genes. We argue for retention of full species status for both I. gemina and I. denticollis, despite genetic exchange between the two.	SAN FRANCISCO STATE UNIV,DEPT BIOL,SAN FRANCISCO,CA 94132										36	16	18	0	4	ENTOMOL SOC AMER	LANHAM	9301 ANNAPOLIS RD, LANHAM, MD 20706	0013-8746			ANN ENTOMOL SOC AM	Ann. Entomol. Soc. Am.	NOV	1992	85	6					662	670		10.1093/aesa/85.6.662			9	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	JZ266					2022-05-23	WOS:A1992JZ26600002
J	Hayashi, F; Dobata, S; Futahashi, R				Hayashi, Fumio; Dobata, Shigeto; Futahashi, Ryo			Disturbed population genetics: Suspected introgressive hybridization between two Mnais damselfly species (Odonata)	ZOOLOGICAL SCIENCE			English	Article						damselfly; introgressive hybridization; mitochondrial DNA; nuclear DNA; sympatric distribution	MOLECULAR SYSTEMATICS; MITOCHONDRIAL; NUCLEAR; DNA; PHYLOGENIES; RADIATION; CONFLICT; SEQUENCE; PATTERNS; COMPLEX	Mnais costalis and M. pruinosa are damselflies (Odonata: Calopterygidae) with low dispersal abilities, both during their aquatic stream-living immature stage and their flying adult stage. A previous nuclear DNA (nDNA) sequencing and morphology study showed that these two species are very closely related, and cohabit widely in western Japan. The two species, however, segregate microhabitats along a stream: M. costalis lives in the lower reaches, and M. pruinosa in the upper reaches. In this study, our analyses were based on mitochondrial DNA (mtDNA), which usually mutates faster and is more variable among individuals than nDNA, and which is inherited maternally. We found that most COI haplotypes were shared between the two species, and that for most study sites interspecific riverine genetic structures were not clarified by mtDNA analysis. Incongruent population genetic structures based on nDNA and mtDNA suggested hybridization and introgression of mtDNA between the two species.	Tokyo Metropolitan Univ, Dept Biol, Hachioji, Tokyo 1920397, Japan; Univ Tokyo, Dept Syst Sci Biol, Meguro Ku, Tokyo 1538902, Japan; Univ Tokyo, Grad Sch Frontier Sci, Dept Integrated Biosci, Kashiwa, Chiba 2778562, Japan		Hayashi, F (corresponding author), Tokyo Metropolitan Univ, Dept Biol, Minamiosawa 1-1, Hachioji, Tokyo 1920397, Japan.	fhayashi@comp.metro-u.ac.jp	Dobata, Shigeto/P-6749-2018; Futahashi, Ryo/I-2825-2018	Dobata, Shigeto/0000-0003-1586-6758; Futahashi, Ryo/0000-0003-4791-7054					31	21	26	0	9	ZOOLOGICAL SOC JAPAN	TOKYO	HONGO MT BUILDING 4F, HONGO 7-2-2, BUNKYO-KU, TOKYO, 113-0033, JAPAN	0289-0003			ZOOL SCI	Zool. Sci.	AUG	2005	22	8					869	881		10.2108/zsj.22.869			13	Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	044DL	16141700				2022-05-23	WOS:000237652500006
J	Monetti, L; Sanchez-Guillen, RA; Rivera, AC				Monetti, L; Sanchez-Guillen, RA; Rivera, AC			Hybridization between Ischnura graellsii (Vander Linder) and I-elegans (Rambur) (Odonata : Coenagrionidae): are they different species?	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY			English	Article						hybrids; morphological differentiation; Odonata; reproductive barriers; speciation	CRYPTIC FEMALE CHOICE; HYBRID ZONES; DAMSELFLIES; SUCCESS	Two closely related damselflies, Ischnura graellsii and I. elegans, were analysed for morphological differences and reproductive isolation in the north coast of Galicia (NW Spain). We compared animals from sympatric and allopatric localities, including I. elegans from Belgium and I. graellsii from southern Spain as pure allopatric populations. A set of morphometric characters were studied by means of multivariate discriminant analysis to determine if these two species can be unambiguously distinguished. Discriminant analysis revealed that I. graellsii and I. elegans are well differentiated on the first two axis (86% and 11%, respectively). I. graellsii individuals are distinguished from I. elegans by their smaller size and, specifically, by their narrower and shorter wings and shorter tibiae. In addition, I. elegans has a narrower space between the branches of each cercus, and greater distance between the branches of each paraproct. Sympatric individuals are morphologically intermediate, suggesting hybridization. When the species were put together in the laboratory, they showed partial temporal separation in mating behaviour, but males of I. elegans readily mated with females of I. graellsii, and hybrid individuals were obtained. The opposite heterospecific cross was almost impossible, apparently because of mechanical problems with the tandem linkage. Laboratory-reared hybrids (from male I. elegans x female I. graellsii) are morphologically intermediate, mainly resembling the maternal phenotype. Although hybridization between both taxa is common, we suggest maintaining the specific status for both phenotypes because they show incipient reproductive isolation, as it is reported in the literature. (C) 2002 The Linnean Society of London, Biological Journal of the Linnean Society, 2002, 76, 225-235.	Univ Vigo, Dept Ecol & Biol Anim, EUET Forestal, Pontevedra 36005, Spain		Monetti, L (corresponding author), Univ Vigo, Dept Ecol & Biol Anim, EUET Forestal, Campus Univ, Pontevedra 36005, Spain.		Guillén, Rosa Ana Sánchez/Q-5714-2018; Cordero-Rivera, Adolfo/K-4182-2014	Guillén, Rosa Ana Sánchez/0000-0001-6024-8321; Cordero-Rivera, Adolfo/0000-0002-5087-3550					36	24	28	0	6	ACADEMIC PRESS LTD ELSEVIER SCIENCE LTD	LONDON	24-28 OVAL RD, LONDON NW1 7DX, ENGLAND	0024-4066			BIOL J LINN SOC	Biol. J. Linnean Soc.	JUN	2002	76	2					225	235		10.1111/j.1095-8312.2002.tb02084.x			11	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	561PD					2022-05-23	WOS:000176149200004
J	Sanchez-Guillen, RA; Van Gossum, H; Rivera, AC				Sanchez-Guillen, RA; Van Gossum, H; Rivera, AC			Hybridization and the inheritance of female colour polymorphism in two ischnurid damselflies (Odonata : Coenagrionidae)	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY			English	Article						allopatry; female-limited polychromatism; hybrid zone; introgression sympatry; Ischnura elegans; Ischnura graellsii; laboratory crosses	MULTIANNUAL CYCLES; RAMBURI ZYGOPTERA; SEXUAL SELECTION; ELEGANS; EVOLUTION; BUTTERFLIES; LEPIDOPTERA; DIMORPHISM; MIMICRY; MORPHS	Female-limited polychromatism is frequent in many species of Odonata. Ischnura elegans has three colour morphs: one male-like coloured (androchrome) and two additional gynochrome brown morphs (infuscans and rufescens-obsoleta morphs). A total of 19 progenies obtained from once-mated females were reared in the laboratory in three generations. Results indicate that the colour morphs are controlled by the same genetic system as previously described for I. graellsii, i.e. an autosomal locus with female-limited expression and with three alleles with a hierarchy of dominance (p(a) > p(i) > p(o)). Five interspecific crossings between female L graellsii and male I. elegans, five crossings between hybrid females and male L elegans and one crossing between female L graellsii and a hybrid male further confirmed that the genetic system is the same in both species. A survey of morph frequencies in north-west Spain revealed that L elegans shows high variability in androchrome frequency (4-91%) between nearby populations, whereas in I. graellsii androchromes never are the majority morph (5-40%). The highest androchrome frequency in I. graellsii was found in populations closest to a locality where both species have hybridized, and that now has the highest androchrome frequency of I. elegans. We hypothesize that I. elegans genes have been incorporated into the genome of I. graellsii resulting in increased androchrome frequency in the latter species. Low androchrome frequency in I. elegans seems also related to the influence of I. graellsii genes. Therefore, we suggest that hybridization between both taxa is contributing to the temporal maintenance of contrasting androchrome frequencies in nearby populations. (c) 2005 The Linnean Society of London.	Univ Vigo, Grp Ecol Evolut, Dept Ecol & Biol Anim, EUET Forestal, Pontevedra 36005, Galiza, Spain; Univ Antwerp, RUCA, Evolutionary Biol Grp, B-2020 Antwerp, Belgium		Rivera, AC (corresponding author), Univ Vigo, Grp Ecol Evolut, Dept Ecol & Biol Anim, EUET Forestal, Campus Univ, Pontevedra 36005, Galiza, Spain.	adolfo.cordero@uvigo.es	Guillén, Rosa Ana Sánchez/Q-5714-2018; Cordero-Rivera, Adolfo/K-4182-2014	Guillén, Rosa Ana Sánchez/0000-0001-6024-8321; Cordero-Rivera, Adolfo/0000-0002-5087-3550					60	109	112	0	20	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0024-4066	1095-8312		BIOL J LINN SOC	Biol. J. Linnean Soc.	AUG	2005	85	4					471	481		10.1111/j.1095-8312.2005.00506.x			11	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	953DW		Bronze			2022-05-23	WOS:000231057700006
J	Kiyoshi, T; Takahashi, J; Yamanaka, T; Tanaka, K; Hamasaki, K; Tsuchida, K; Tsubaki, Y				Kiyoshi, Takuya; Takahashi, Jun-ichi; Yamanaka, Takehiko; Tanaka, Koichi; Hamasaki, Kenji; Tsuchida, Koji; Tsubaki, Yoshitaka			Taxonomic uncertainty of a highly endangered brook damselfly, Copera tokyoensis Asahina, 1948 (Odonata: Platycnemididae), revealed by the mitochondrial gene genealogy	CONSERVATION GENETICS			English	Article						Copera; Brook damselfly; Odonata; Taxonomic uncertainty	COMPUTER-PROGRAM; DNA; DIFFERENTIATION; JAPAN	In the Japanese main islands, two brook damselfly species are sympatrically distributed. One is highly endangered damselfly, Copera tokyoensis, Asahina, 1948, and the other is a congeneric common species, C. annulata (Selys, 1863). Mitochondrial gene genealogy reconstructed by the maximum likelihood method showed that they are not reciprocally monophyletic. These two congeneric species might have experienced mitochondrial introgressions possibly through hybridizations. The effect of hybridization against endangered species is generally poorly understood. Taxonomic uncertainty might also explain this situation because extremely dispersed pattern of the haplotype network could not be appeared by once or twice hybridization. Three closely located populations of C. tokyoensis in the Kanto district showed significant population differentiation. It might suggest the low dispersal tendency of this endangered species.	[Kiyoshi, Takuya; Tsubaki, Yoshitaka] Kyoto Univ, Ctr Ecol Res, Shiga 5202113, Japan; [Takahashi, Jun-ichi] Kyoto Sangyo Univ, Fac Life Sci, Kita Ku, Kyoto 6038555, Japan; [Yamanaka, Takehiko; Tanaka, Koichi; Hamasaki, Kenji] Natl Inst Agroenvironm Sci, Tsukuba, Ibaraki 3058604, Japan; [Tsuchida, Koji] Gifu Univ, Fac Appl Biol Sci, Gifu 5011193, Japan		Kiyoshi, T (corresponding author), Kyoto Univ, Ctr Ecol Res, Hirano 2-509-3, Shiga 5202113, Japan.	kiyoshi@ecology.kyoto-u.ac.jp	Tsuchida, Koji/AAI-3932-2020; Tsuchida, Koji/M-6557-2019	Tsuchida, Koji/0000-0001-9359-5573; Yamanaka, Takehiko/0000-0003-2888-1076	Ministry of Education, Culture, Sports and Technology (MEXT), Japan; Ministry of Agriculture, Forestry and Fisheries of Japan	Ministry of Education, Culture, Sports and Technology (MEXT), Japan(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)); Ministry of Agriculture, Forestry and Fisheries of Japan(Ministry of Agriculture Forestry & Fisheries - Japan)	Kiyoshi, Takahashi and Tsubaki were financially supported in part by the Global Center of Excellence Program "Formation of a Strategic Base for Biodiversity and Evolutionary Research: from Genome to Ecosystem'' of the Ministry of Education, Culture, Sports and Technology (MEXT), Japan. Yamanaka, Tanaka and Hamasaki were supported in part by a Grant-in-Aid for project research on Developing Technology for Coexisting with Nature within Agro-forest and Aquatic Watershed Landscapes, from the Ministry of Agriculture, Forestry and Fisheries of Japan.		19	3	3	0	6	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1566-0621			CONSERV GENET	Conserv. Genet.	JUN	2011	12	3					845	849		10.1007/s10592-011-0189-x			5	Biodiversity Conservation; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Genetics & Heredity	760IY					2022-05-23	WOS:000290319200024
J	Sadeghi, S; Kyndt, T; Dumont, HJ				Sadeghi, Saber; Kyndt, Tina; Dumont, Henri J.			Genetic diversity, population structure and taxonomy of Calopteryx splendens (Odonata: Calopterygidae): An AFLP analysis	EUROPEAN JOURNAL OF ENTOMOLOGY			English	Article						Odonata; Calopteryx; AFLP; genetic structure; diversity; gene flow	MULTILOCUS GENOTYPE DATA; SEXUAL SELECTION; PHYLOGENETIC-RELATIONSHIPS; CHARACTER DISPLACEMENT; BIOGEOGRAPHIC PATTERNS; DNA MARKERS; DIVERGENCE; FLOW; DAMSELFLIES; DISPERSAL	Calopteryx splendens is a widely distributed palaearctic damselfly with a remarkably uniform morphology. Variation in the size and shape of the pigmented spot on the wing is the main diagnostic character used to discriminate subspecies across its huge geographic range. Here, AFLP analysis was used to assess the genetic structure and diversity of nine populations representing 3 putative subspecies and evaluate the pigment spot as a taxonomic marker. Genetic diversity was high, with the number of polymorphic loci per population ranging from 141 to 280 out of a total of 333 variable sites (42.3-84.1%) and Nei's gene diversity from 0.160 to 0.283 (overall 0.299). Overall population genetic differentiation (F-ST = 0.2766) suggests limited gene flow and adaptation to local environments. Restricted gene flow and genetic differentiation among populations are supported by significant F-ST estimates. High levels of gene flow (N-m > 1) were only recorded among three Asian populations (Russia - Kazakhstan - Turkey). The patterns of genotypic diversity suggest that a given wing spot size and shape may arise from the hybridization of a limited number, possibly not more than four, ancestral gene pools in different ways and at different times. Clearly, the sample analyzed was not sufficient to capture all of the complex history of C. splendens, but sufficient to indicate the taxa ancilla, waterstoni, and orientalis possibly represent three of the four ancestral gene pools, and originated in western Asia. The origin of the fourth, xanthostoma, is the western Mediterranean.	[Sadeghi, Saber; Dumont, Henri J.] Univ Ghent, Dept Biol, B-9000 Ghent, Belgium; [Sadeghi, Saber] Shiraz Univ, Dept Biol, Shiraz, Iran; [Kyndt, Tina] Univ Ghent, Dept Mol Biotechnol, B-9000 Ghent, Belgium		Dumont, HJ (corresponding author), Univ Ghent, Dept Biol, Ledeganckstr 35, B-9000 Ghent, Belgium.	sabersadeghi@yahoo.com; tina.kyndt@ugent.be; henri.dumont@ugent.be	Sadeghi, Saber/W-9066-2018; Kyndt, Tina/E-4346-2013	Sadeghi, Saber/0000-0002-3183-8979; Kyndt, Tina/0000-0002-5267-5013					72	9	9	0	12	CZECH ACAD SCI, INST ENTOMOLOGY	CESKE BUDEJOVICE	BRANISOVSKA 31, CESKE BUDEJOVICE 370 05, CZECH REPUBLIC		1802-8829		EUR J ENTOMOL	Eur. J. Entomol.		2010	107	2					137	146		10.14411/eje.2010.019			10	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	578QY		Green Submitted, gold			2022-05-23	WOS:000276310400001
J	Solano, E; Hardersen, S; Audisio, P; Amorosi, V; Senczuk, G; Antonini, G				Solano, Emanuela; Hardersen, Sonke; Audisio, Paolo; Amorosi, Valentina; Senczuk, Gabriele; Antonini, Gloria			Asymmetric hybridization in Cordulegaster (Odonata: Cordulegastridae): Secondary postglacial contact and the possible role of mechanical constraints	ECOLOGY AND EVOLUTION			English	Article						asymmetric introgression; Cordulegaster boltonii; Cordulegaster trinacriae; geometric morphometrics; hybrid zone; phylogeography; species boundaries	DAMSELFLY SPECIES ODONATA; CLIMATE-CHANGE; HYBRID ZONES; GLACIAL REFUGIA; HAPLOTYPE RECONSTRUCTION; ITALIAN PENINSULA; COENAGRION-PUELLA; BRITISH ODONATA; EVOLUTION; DNA	Two Cordulegaster dragonflies present in Italy, the Palaearctic and northern distributed Cordulegaster boltonii and the endemic to the south of the peninsula Cordulegaster trinacriae, meet in central Italy and give rise to individuals of intermediate morphology. By means of mitochondrial and nuclear markers and of Geometric Morphometrics applied to sexual appendages, we defined i) the geographical boundaries between the two species in Italy and ii) we determined the presence, the extent, and the genetic characteristics of the hybridization. Genetic data evidenced asymmetric hybridization with the males of C.trinacriae able to mate both interspecifically and intraspecifically. The results contrast with expectations under neutral gene introgression and sexual selection. This data, along with the morphological evidence of significant differences in size and shape of sexual appendages between the males of the two species, seem indicative of the role of mechanical constraints in intraspecific matings. The origin of the two species is dated about to 1.32 Mya and the hybridization resulted related to range expansion of the two species after Last Glacial Maximum and this led to the secondary contact between the two taxa in central Italy. At last, our results indicate that the range of C.trinacriae, a threatened and protected species, has been moving northward probably driven by climate changes. As a result, the latter species is currently intruding into the range of C.boltonii. The hybrid area is quite extended and the hybrids seem well adapted to the environment. From a conservation point of view, even if C.trinacriae has a strong genetic identity, the discovery of hybridization between the two species should be considered in a future species management.	[Solano, Emanuela; Audisio, Paolo; Amorosi, Valentina; Senczuk, Gabriele; Antonini, Gloria] Univ Roma La Sapienza, Dept Biol & Biotechnol Charles Darwin, Via Alfonso Borelli 50, I-00161 Rome, Italy; [Hardersen, Sonke] Ctr Nazl Studio Conservaz Biodiversita Forestale, Marmirolo, Mantua, Italy		Antonini, G (corresponding author), Univ Roma La Sapienza, Dept Biol & Biotechnol Charles Darwin, Via Alfonso Borelli 50, I-00161 Rome, Italy.	gloria.antonini@uniroma1.it		Senczuk, Gabriele/0000-0001-8889-2290; Hardersen, Sonke/0000-0001-5471-3880	Ministry of Agriculture and Forestry-National Forest Service; Ministry of the Environment, Land and Sea (National Guidelines for Monitoring and Conservation of Saproxylic Beetles in Italy); University of Rome La Sapienza; National Centre for Forest Biodiversity	Ministry of Agriculture and Forestry-National Forest Service; Ministry of the Environment, Land and Sea (National Guidelines for Monitoring and Conservation of Saproxylic Beetles in Italy); University of Rome La Sapienza; National Centre for Forest Biodiversity	Ministry of Agriculture and Forestry-National Forest Service; National Centre for Forest Biodiversity; Ministry of the Environment, Land and Sea (National Guidelines for Monitoring and Conservation of Saproxylic Beetles in Italy); University of Rome La Sapienza		100	7	8	0	2	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	2045-7758			ECOL EVOL	Ecol. Evol.	OCT	2018	8	19					9657	9671		10.1002/ece3.4368			15	Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Evolutionary Biology	GY7PA	30386565	Green Published, gold			2022-05-23	WOS:000448803000009
J	LEONG, JM; HAFERNIK, JE				LEONG, JM; HAFERNIK, JE			SEASONAL-VARIATION IN ALLOPATRIC POPULATIONS OF ISCHNURA-DENTICOLLIS (BURMEISTER) AND ISCHNURA-GEMINA (KENNEDY) (ODONATA, COENAGRIONIDAE)	PAN-PACIFIC ENTOMOLOGIST			English	Article						INSECTA; ODONATA; ISCHNURA; SEASONAL VARIATION; MORPHOMETRICS		We morphometrically evaluate the seasonal variation within two species of damselflies, Ischnura gemina (Kennedy) and Ischnura denticollis (Burmeister) in allopatry, in order to determine whether the same morphometric characters will be useful species discriminators in an I. denticollis and L gemina hybrid zone. Canonical analysis of discriminance reveals that for both species, early emerging individuals are larger with wider heads than those that emerge later. In addition, each species displays other individual patterns of seasonal variation. Both damselfly species are phenetically distinct despite pronounced seasonal variation; this indicates that the morphometric characters used in this study are potentially suitable for use in diagnosis of hybrid zone individuals.			LEONG, JM (corresponding author), UNIV CALIF DAVIS,ECOL GRAD GRP,DAVIS,CA 95616, USA.								0	2	2	0	1	PACIFIC COAST ENTOMOL SOC	SAN FRANCISCO	CALIFORNIA ACAD OF SCIENCES GOLDEN GATE PARK, SAN FRANCISCO, CA 94118	0031-0603			PAN-PAC ENTOMOL	Pan-Pacific Entomol.	OCT	1992	68	4					268	278					11	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	KB297					2022-05-23	WOS:A1992KB29700005
J	Zhang, HG; Ning, X; Yu, X; Bu, WJ				Zhang, Haiguang; Ning, Xin; Yu, Xin; Bu, Wen-Jun			Integrative species delimitation based on COI, ITS, and morphological evidence illustrates a unique evolutionary history of the genus Paracercion (Odonata: Coenagrionidae)	PEERJ			English	Article						Hybridization; Integrated taxonomy; Introgression; Paracercion; Species delimitation	MITOCHONDRIAL INTROGRESSION; TAXONOMY; ZYGOPTERA; PHYLOGENETICS; DISCORDANCE; DIVERSITY; SELECTION; BARCODES; NOV	Paracercion are common 'blue and black' colored damselflies. We explore the species boundaries of Paracercion (Odonata: Coenagrionidae) using ABGD, bPTP, GMYC and Distance-based clustering. We finally got the molecular data of all nine species of Paracercion. P. hieroglyphicum and P. melanotum were combined into one putative species based on cytochrome c oxidase I (COI). However, they were separated into two putative species based on the nuclear segment including ITS1-5.8S-ITS2 (ITS). This suggests the introgression of mtDNA in Paracercion. Paracercion barbatum and Paracercion melanotum can be separated into two species based on COI, whereas they were combined into one putative species based on ITS, which suggests a hybridization event between them. The lower interspecific divergence (COI: 0.49%) between P. barbatum and Paracercion v-nigrum indicates a recent speciation event in Paracercion. Paracercion sieboldii and P. v-nigrum can be separated into two putative species based on COI, while they were frequently merged into the same putative species based on ITS. This can be explained by incomplete lineage sorting in nDNA. Besides, P. pendulum and P. malayanum were synonymized as junior synonyms of P. melanotum. P. luzonicum was confirmed not to belong to Paracercion. The possibility of introgression, hybridization, recent speciation and incomplete lineage sorting makes species delimitation, based on molecular data, difficult and complicates understanding of the evolutionary history of Paracercion. The discordance in COI and ITS also indicates the value of using markers from different sources in species delimitation studies.	[Zhang, Haiguang] Linyi Univ, Coll Life Sci, Linyi, Shandong, Peoples R China; [Ning, Xin; Bu, Wen-Jun] Nankai Univ, Coll Life Sci, Inst Entomol, Tianjin, Peoples R China; [Ning, Xin] Wenlai High Sch, Shanghai, Peoples R China; [Yu, Xin] Chongqing Normal Univ, Coll Life Sci, Chongqing, Peoples R China		Yu, X (corresponding author), Chongqing Normal Univ, Coll Life Sci, Chongqing, Peoples R China.	lannysummer@163.com			Chongqing Basic Research and Frontier Exploration Special Project [cstc2018jcyjAX0415]; Ministry of Science and Technology of China [2015FY210300]	Chongqing Basic Research and Frontier Exploration Special Project; Ministry of Science and Technology of China(Ministry of Science and Technology, China)	This project was supported by the Chongqing Basic Research and Frontier Exploration Special Project (No. cstc2018jcyjAX0415) and the grant of Ministry of Science and Technology of China (No. 2015FY210300). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		65	1	1	4	7	PEERJ INC	LONDON	341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND	2167-8359			PEERJ	PeerJ	MAY 26	2021	9								e11459	10.7717/peerj.11459			22	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	SK3LV	34123590	Green Published, gold			2022-05-23	WOS:000656120400005
J	Sadeghi, S; Dumont, HJ				Sadeghi, Saber; Dumont, Henri J.			Variation in the shape of the wings and taxonomy of Eurasian populations of the Calopteryx splendens complex (Odonata: Calopterygidae)	EUROPEAN JOURNAL OF ENTOMOLOGY			English	Article						Odonata; Calopterygidae; Calopteryx splendens; Eurasia; wing shape; taxonomy	PHYLOGENETIC-RELATIONSHIPS; GEOMETRIC MORPHOMETRICS; BIOGEOGRAPHIC PATTERNS; ZYGOPTERA; IMMUNOCOMPETENCE	We used geometric morphometrics to determine variation in the morphology of the forewings of individuals in 20 populations of Calopteryx splendens s. l. in Eurasia and related these to the circum-specific taxonomy of this taxon. We found differences in shape, with the largest and smallest centroid size of the wings in adjacent northern (orientalis) and western (intermedia) populations in Iran, respectively, so isolation and relationship are not necessarily determined by distance, but often associated with the stream basin inhabited. The variation in wing shape, however, was much greater. with Populations at the eastern edge of the range (Tajikistan, Kyrgyzstan and East Kazakhstan) uniquely different. Oddly, no taxonomic name is associated with them, although they may be among the oldest representatives of the splendens complex. The European and Asian populations are in two separate clades. One of these includes insects with no to a medium-sized wing spot, which does not reach the tip of the wing (waterstoni-group), while the other includes insects with very broad wing spots, or, when short, it extends to the very tip of the wings and most females are androchrome (ancilla or intermedia group). Turkmenistan and northern Iranian population form a separate line inside this clade, which we equate with Calopteryx orientalis. South Albanian and Greek populations are in a separate branch corresponding to ssp. balcanica; two populations from Ireland and Italy form a branch that has no equivalent in traditional taxonomy, while Calopteryx xanthostoma was not identified by its wing shape. Understanding this multitude of phenotypes and the enormous amount of variation within certain populations but not in others becomes easy if one assumes there were two probable late Pleistocene waves of migration, the first of insects lacking spots that migrated east and westwards from the South Black Sea basin, the second, perhaps from the west Caspian, composed of heavily spotted insects with androchromic females. The hybridization between these two waves resulted in the current plethora of colour forms and accounts for why similar phenotypes may turn up independently in widely distant locations.	[Sadeghi, Saber] Shiraz Univ, Fac Sci, Dept Biol, Shiraz, Iran; [Dumont, Henri J.] Univ Ghent, Dept Biol, B-9000 Ghent, Belgium		Sadeghi, S (corresponding author), Shiraz Univ, Fac Sci, Dept Biol, Shiraz, Iran.	ssadeghi@shirazu.ac.ir; Henri.Dumont@ugent.be	Sadeghi, Saber/W-9066-2018	Sadeghi, Saber/0000-0002-3183-8979					44	5	6	1	21	CZECH ACAD SCI, INST ENTOMOLOGY	CESKE BUDEJOVICE	BRANISOVSKA 31, CESKE BUDEJOVICE 370 05, CZECH REPUBLIC		1802-8829		EUR J ENTOMOL	Eur. J. Entomol.	OCT 1	2014	111	4					575	583		10.14411/eje.2014.073			9	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	AR6AI		gold, Green Submitted			2022-05-23	WOS:000343664700016
